Compañía,icao
AEGEAN AIRLINES,AEE
AIR BALTIC CORPORATION JSC,BTI
AIR EUROPA,AEA
AIR FRANCE,AFR
AIR NOSTRUM L.A. MEDITERRANEO,ANE
AIR SERBIA,ASL
AIR TRANSAT,TSC
ASL AIRLINES BELGIUM,TAY
AUSTRIAN AIRLINES,AUA
BINTER CANARIAS,RZO
BRITISH AIRWAYS,BAW
BRUSSELS AIRLINES N.V./S.A.,BEL
DEUTSCHE LUFTHANSA A.G.,DLH
EASYJET EUROPE AIRLINE GMBH,EJU
EASYJET SWITZERLAND SA,EZS
EASYJET UK LTD,EZY
EUROPEAN AIR TRANSPORT LEIPZIG,BCS
EUROWINGS GMBH,EWG
IBERIA,IBE
KLM ROYAL DUTCH AIRLINES,KLM
LUFTHANSA CITY AIRLINES GMBH,LLX
LUXAIR - SOCIETE LUXEMBOURGEOI,LGL
NORWEGIAN AIR SWEDEN AOC AB,NSW
ROYAL AIR MAROC,RAM
RYANAIR DAC,RYR
RYANAIR UK LIMITED,RUK
SMARTWINGS, A.S.,TVS
SWISS INTERNATIONAL AIR LINES,SWR
TAP AIR PORTUGAL,TAP
TRANSAVIA FRANCE,TVF
TRANSAVIA HOLLAND B.V,TRA
TURKISH AIRLINES,THY
UPS UNITED PARCEL SERVICE,UPS
VOLOTEA, S.L.,VOE
VUELING AIRLINES, S.A.,VLG
WIZZ AIR HUNGARY LTD,WZZ
WIZZ AIR MALTA LTD,WMT
