Año,Mes,País,Compañía,ICAO,Pasajeros,Vuelos,Ratio_Pax_Vuelo
2022,8,ESPAÑA,RYANAIR DAC,RYR,54774,314,174.44
2022,7,ESPAÑA,RYANAIR DAC,RYR,54075,319,169.51
2022,9,ESPAÑA,RYANAIR DAC,RYR,52086,309,168.56
2022,6,ESPAÑA,RYANAIR DAC,RYR,49902,309,161.5
2022,10,ESPAÑA,RYANAIR DAC,RYR,49812,312,159.65
2022,8,ITALIA,RYANAIR DAC,RYR,49470,279,177.31
2022,7,ITALIA,RYANAIR DAC,RYR,48153,276,174.47
2022,9,ITALIA,RYANAIR DAC,RYR,46439,265,175.24
2022,10,ITALIA,RYANAIR DAC,RYR,46242,265,174.5
2022,6,ITALIA,RYANAIR DAC,RYR,44936,262,171.51
2022,5,ESPAÑA,RYANAIR DAC,RYR,44340,294,150.82
2022,4,ESPAÑA,RYANAIR DAC,RYR,44028,286,153.94
2022,8,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,43820,269,162.9
2022,7,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,42755,262,163.19
2022,5,ITALIA,RYANAIR DAC,RYR,41740,241,173.2
2022,3,ITALIA,RYANAIR DAC,RYR,41709,258,161.66
2022,4,ITALIA,RYANAIR DAC,RYR,38331,226,169.61
2022,9,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,36798,242,152.06
2022,12,ITALIA,RYANAIR DAC,RYR,36384,206,176.62
2022,11,ITALIA,RYANAIR DAC,RYR,36120,210,172
2022,6,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,35230,240,146.79
2022,2,ITALIA,RYANAIR DAC,RYR,34528,236,146.31
2022,3,ESPAÑA,RYANAIR DAC,RYR,32245,215,149.98
2022,5,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,30482,247,123.41
2022,12,ESPAÑA,RYANAIR DAC,RYR,30440,185,164.54
2022,10,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,30331,218,139.13
2022,4,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,30034,237,126.73
2022,11,ESPAÑA,RYANAIR DAC,RYR,28061,178,157.65
2022,3,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,24415,375,65.11
2022,12,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,23705,173,137.02
2022,9,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,22758,374,60.85
2022,4,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,21915,377,58.13
2022,6,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,21715,371,58.53
2022,5,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,21388,370,57.81
2022,1,ITALIA,RYANAIR DAC,RYR,21285,203,104.85
2022,10,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,21250,389,54.63
2022,2,ESPAÑA,RYANAIR DAC,RYR,21119,132,159.99
2022,11,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,21077,335,62.92
2022,7,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,20958,351,59.71
2022,8,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,20255,318,63.69
2022,1,ESPAÑA,RYANAIR DAC,RYR,19748,137,144.15
2022,11,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,19561,143,136.79
2022,6,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,18300,111,164.86
2022,10,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,18294,114,160.47
2022,4,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,18217,114,159.8
2022,2,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,18158,288,63.05
2022,12,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,18025,313,57.59
2022,5,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,17973,116,154.94
2022,5,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,17027,109,156.21
2022,6,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,16648,107,155.59
2022,8,ESPAÑA,AIR EUROPA,AEA,16635,123,135.24
2022,8,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,16559,109,151.92
2022,4,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,16264,107,152
2022,3,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,16206,118,137.34
2022,10,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,16045,102,157.3
2022,7,ESPAÑA,AIR EUROPA,AEA,15732,124,126.87
2022,7,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,15446,102,151.43
2022,9,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,15378,97,158.54
2022,9,ESPAÑA,AIR EUROPA,AEA,15338,120,127.82
2022,7,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,15293,87,175.78
2022,9,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,15066,89,169.28
2022,1,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,15007,307,48.88
2022,12,ESPAÑA,AIR EUROPA,AEA,14926,124,120.37
2022,7,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,14841,102,145.5
2022,8,REINO UNIDO,RYANAIR DAC,RYR,14627,85,172.08
2022,7,REINO UNIDO,RYANAIR DAC,RYR,14478,82,176.56
2022,11,ESPAÑA,AIR EUROPA,AEA,14153,119,118.93
2022,7,REINO UNIDO,EASYJET UK LTD ,EZY,13826,87,158.92
2022,8,REINO UNIDO,EASYJET UK LTD ,EZY,13778,93,148.15
2022,10,ESPAÑA,AIR EUROPA,AEA,13561,124,109.36
2022,8,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,13454,101,133.21
2022,10,REINO UNIDO,RYANAIR DAC,RYR,13424,84,159.81
2022,9,REINO UNIDO,RYANAIR DAC,RYR,13417,81,165.64
2022,12,REINO UNIDO,RYANAIR DAC,RYR,13232,77,171.84
2022,5,REINO UNIDO,RYANAIR DAC,RYR,13178,79,166.81
2022,6,REINO UNIDO,RYANAIR DAC,RYR,13173,79,166.75
2022,3,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,13059,86,151.85
2022,4,REINO UNIDO,RYANAIR DAC,RYR,13037,79,165.03
2022,9,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,12923,87,148.54
2022,12,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,12778,78,163.82
2022,7,FRANCIA,RYANAIR DAC,RYR,12771,80,159.64
2022,8,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,12736,76,167.58
2022,11,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,12686,80,158.57
2022,6,ESPAÑA,AIR EUROPA,AEA,12668,119,106.45
2022,12,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,12492,79,158.13
2022,9,REINO UNIDO,EASYJET UK LTD ,EZY,12214,90,135.71
2022,10,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,12177,86,141.59
2022,6,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,12083,85,142.15
2022,11,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,12032,88,136.73
2022,8,FRANCIA,RYANAIR DAC,RYR,12029,79,152.27
2022,4,REINO UNIDO,EASYJET UK LTD ,EZY,11984,81,147.95
2022,11,REINO UNIDO,RYANAIR DAC,RYR,11666,77,151.51
2022,5,REINO UNIDO,EASYJET UK LTD ,EZY,10981,78,140.78
2022,7,FRANCIA,"VUELING AIRLINES, S.A.",VLG,10860,63,172.38
2022,10,REINO UNIDO,EASYJET UK LTD ,EZY,10808,86,125.67
2022,5,ESPAÑA,AIR EUROPA,AEA,10761,123,87.49
2022,10,FRANCIA,RYANAIR DAC,RYR,10674,70,152.49
2022,10,FRANCIA,"VUELING AIRLINES, S.A.",VLG,10562,61,173.15
2022,4,ESPAÑA,AIR EUROPA,AEA,10556,117,90.22
2022,3,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,10556,72,146.61
2022,10,ALEMANIA,RYANAIR DAC,RYR,10281,58,177.26
2022,8,FRANCIA,"VUELING AIRLINES, S.A.",VLG,10227,63,162.33
2022,5,ALEMANIA,RYANAIR DAC,RYR,10208,58,176
2022,7,FRANCIA,AIR FRANCE,AFR,10177,75,135.69
2022,5,FRANCIA,"VUELING AIRLINES, S.A.",VLG,10176,62,164.13
2022,6,FRANCIA,"VUELING AIRLINES, S.A.",VLG,10073,60,167.88
2022,8,FRANCIA,AIR FRANCE,AFR,9815,77,127.47
2022,7,ALEMANIA,RYANAIR DAC,RYR,9803,55,178.24
2022,9,ALEMANIA,RYANAIR DAC,RYR,9785,55,177.91
2022,10,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,9757,47,207.6
2022,9,FRANCIA,RYANAIR DAC,RYR,9729,73,133.27
2022,3,REINO UNIDO,RYANAIR DAC,RYR,9707,61,159.13
2022,9,FRANCIA,"VUELING AIRLINES, S.A.",VLG,9692,57,170.04
2022,6,ALEMANIA,RYANAIR DAC,RYR,9540,54,176.67
2022,6,FRANCIA,RYANAIR DAC,RYR,9529,72,132.35
2022,11,FRANCIA,"VUELING AIRLINES, S.A.",VLG,9501,60,158.35
2022,12,FRANCIA,"VUELING AIRLINES, S.A.",VLG,9413,56,168.09
2022,4,FRANCIA,"VUELING AIRLINES, S.A.",VLG,9379,60,156.32
2022,1,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,9326,86,108.44
2022,8,ALEMANIA,RYANAIR DAC,RYR,9275,53,175
2022,6,REINO UNIDO,EASYJET UK LTD ,EZY,9275,65,142.69
2022,2,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,9086,58,156.66
2022,12,REINO UNIDO,EASYJET UK LTD ,EZY,9063,58,156.26
2022,4,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,8951,67,133.6
2022,2,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,8857,58,152.71
2022,7,ALEMANIA,EUROWINGS GMBH,EWG,8837,60,147.28
2022,5,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,8813,71,124.13
2022,5,ALEMANIA,EUROWINGS GMBH,EWG,8661,62,139.69
2022,8,PORTUGAL,RYANAIR DAC,RYR,8596,49,175.43
2022,2,REINO UNIDO,RYANAIR DAC,RYR,8542,55,155.31
2022,4,ALEMANIA,RYANAIR DAC,RYR,8515,48,177.4
2022,4,FRANCIA,AIR FRANCE,AFR,8389,60,139.82
2022,8,ALEMANIA,EUROWINGS GMBH,EWG,8285,62,133.63
2022,9,ALEMANIA,EUROWINGS GMBH,EWG,8263,56,147.55
2022,3,ESPAÑA,AIR EUROPA,AEA,8247,112,73.63
2022,5,FRANCIA,AIR FRANCE,AFR,8236,61,135.02
2022,1,ESPAÑA,AIR EUROPA,AEA,8206,112,73.27
2022,4,FRANCIA,RYANAIR DAC,RYR,8178,56,146.04
2022,5,FRANCIA,RYANAIR DAC,RYR,8157,57,143.11
2022,3,ALEMANIA,RYANAIR DAC,RYR,8116,49,165.63
2022,9,PORTUGAL,RYANAIR DAC,RYR,7909,47,168.28
2022,10,FRANCIA,AIR FRANCE,AFR,7901,59,133.92
2022,7,PORTUGAL,RYANAIR DAC,RYR,7895,48,164.48
2022,5,BELGICA,RYANAIR DAC,RYR,7872,45,174.93
2022,10,PORTUGAL,RYANAIR DAC,RYR,7851,49,160.22
2022,5,PORTUGAL,RYANAIR DAC,RYR,7782,48,162.12
2022,2,ALEMANIA,RYANAIR DAC,RYR,7781,48,162.1
2022,2,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,7770,56,138.75
2022,6,FRANCIA,AIR FRANCE,AFR,7758,56,138.54
2022,9,BELGICA,RYANAIR DAC,RYR,7729,43,179.74
2022,7,BELGICA,RYANAIR DAC,RYR,7685,42,182.98
2022,9,FRANCIA,AIR FRANCE,AFR,7664,55,139.35
2022,12,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,7633,41,186.17
2022,6,PORTUGAL,RYANAIR DAC,RYR,7633,47,162.4
2022,6,ALEMANIA,EUROWINGS GMBH,EWG,7628,55,138.69
2022,8,BELGICA,RYANAIR DAC,RYR,7603,44,172.8
2022,10,BELGICA,RYANAIR DAC,RYR,7568,43,176
2022,8,MARRUECOS,RYANAIR DAC,RYR,7556,43,175.72
2022,2,ESPAÑA,AIR EUROPA,AEA,7458,96,77.69
2022,12,ESPAÑA,"VOLOTEA, S.L.",VOE,7392,58,127.45
2022,9,MARRUECOS,RYANAIR DAC,RYR,7382,43,171.67
2022,1,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,7348,63,116.63
2022,4,PORTUGAL,RYANAIR DAC,RYR,7336,47,156.09
2022,4,ALEMANIA,EUROWINGS GMBH,EWG,7240,52,139.23
2022,12,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,7230,54,133.89
2022,9,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,7188,34,211.41
2022,8,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,7164,36,199
2022,4,BELGICA,RYANAIR DAC,RYR,7144,41,174.24
2022,6,BELGICA,RYANAIR DAC,RYR,7125,41,173.78
2022,7,REINO UNIDO,BRITISH AIRWAYS,BAW,7114,47,151.36
2022,10,ALEMANIA,EUROWINGS GMBH,EWG,7078,51,138.78
2022,3,FRANCIA,RYANAIR DAC,RYR,6830,44,155.23
2022,3,FRANCIA,"VUELING AIRLINES, S.A.",VLG,6796,41,165.76
2022,12,ALEMANIA,RYANAIR DAC,RYR,6754,38,177.74
2022,10,MARRUECOS,RYANAIR DAC,RYR,6667,43,155.05
2022,11,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,6544,32,204.5
2022,2,FRANCIA,RYANAIR DAC,RYR,6512,40,162.8
2022,10,ITALIA,"VUELING AIRLINES, S.A.",VLG,6487,39,166.33
2022,10,ESPAÑA,"VOLOTEA, S.L.",VOE,6448,45,143.29
2022,5,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,6399,35,182.83
2022,11,REINO UNIDO,EASYJET UK LTD ,EZY,6390,53,120.57
2022,12,FRANCIA,AIR FRANCE,AFR,6365,70,90.93
2022,9,TURQUIA,TURKISH AIRLINES,THY,6364,43,148
2022,12,BELGICA,RYANAIR DAC,RYR,6313,35,180.37
2022,5,ESPAÑA,"VOLOTEA, S.L.",VOE,6307,45,140.16
2022,3,BELGICA,RYANAIR DAC,RYR,6269,37,169.43
2022,3,REINO UNIDO,EASYJET UK LTD ,EZY,6202,40,155.05
2022,7,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,6176,35,176.46
2022,3,FRANCIA,AIR FRANCE,AFR,6156,46,133.83
2022,6,HOLANDA,KLM ROYAL DUTCH AIRLINES,KLM,6129,57,107.53
2022,11,FRANCIA,AIR FRANCE,AFR,6126,68,90.09
2022,11,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,6114,53,115.36
2022,6,ESPAÑA,"VOLOTEA, S.L.",VOE,6069,43,141.14
2022,12,IRLANDA,RYANAIR DAC,RYR,6028,36,167.44
2022,11,ALEMANIA,RYANAIR DAC,RYR,6017,38,158.34
2022,9,ITALIA,"VUELING AIRLINES, S.A.",VLG,6015,35,171.86
2022,4,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,5987,33,181.42
2022,10,HOLANDA,KLM ROYAL DUTCH AIRLINES,KLM,5982,60,99.7
2022,3,HOLANDA,KLM ROYAL DUTCH AIRLINES,KLM,5982,61,98.07
2022,11,TURQUIA,TURKISH AIRLINES,THY,5978,41,145.8
2022,1,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,5962,65,91.72
2022,8,REINO UNIDO,BRITISH AIRWAYS,BAW,5927,46,128.85
2022,4,HOLANDA,KLM ROYAL DUTCH AIRLINES,KLM,5906,59,100.1
2022,7,TURQUIA,TURKISH AIRLINES,THY,5898,45,131.07
2022,12,TURQUIA,TURKISH AIRLINES,THY,5852,44,133
2022,6,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,5848,34,172
2022,9,HOLANDA,KLM ROYAL DUTCH AIRLINES,KLM,5796,60,96.6
2022,8,TURQUIA,TURKISH AIRLINES,THY,5708,42,135.9
2022,8,RUMANIA,"BLUE AIR AVIATIÓN, S.A",BLA,5702,36,158.39
2022,5,HOLANDA,KLM ROYAL DUTCH AIRLINES,KLM,5696,57,99.93
2022,4,ESPAÑA,"VOLOTEA, S.L.",VOE,5683,39,145.72
2022,1,ALEMANIA,RYANAIR DAC,RYR,5670,45,126
2022,8,FRANCIA,TRANSAVIA FRANCE,TVF,5650,36,156.94
2022,2,BELGICA,RYANAIR DAC,RYR,5596,32,174.88
2022,9,ESPAÑA,"VOLOTEA, S.L.",VOE,5571,38,146.61
2022,11,MARRUECOS,RYANAIR DAC,RYR,5544,38,145.89
2022,10,TURQUIA,TURKISH AIRLINES,THY,5538,38,145.74
2022,7,FRANCIA,TRANSAVIA FRANCE,TVF,5508,32,172.12
2022,7,MARRUECOS,RYANAIR DAC,RYR,5497,46,119.5
2022,12,MARRUECOS,RYANAIR DAC,RYR,5471,38,143.97
2022,8,ITALIA,"VUELING AIRLINES, S.A.",VLG,5328,31,171.87
2022,6,TURQUIA,TURKISH AIRLINES,THY,5266,37,142.32
2022,1,FRANCIA,AIR FRANCE,AFR,5148,39,132
2022,11,BELGICA,RYANAIR DAC,RYR,5142,33,155.82
2022,11,PORTUGAL,TAP AIR PORTUGAL,TAP,5139,59,87.1
2022,11,IRLANDA,RYANAIR DAC,RYR,5091,32,159.09
2022,7,ITALIA,"VUELING AIRLINES, S.A.",VLG,5089,31,164.16
2022,11,ITALIA,"VUELING AIRLINES, S.A.",VLG,5070,30,169
2022,9,HOLANDA,"VUELING AIRLINES, S.A.",VLG,5040,29,173.79
2022,2,FRANCIA,"VUELING AIRLINES, S.A.",VLG,5034,26,193.62
2022,6,HOLANDA,"VUELING AIRLINES, S.A.",VLG,5032,30,167.73
2022,5,ITALIA,"VUELING AIRLINES, S.A.",VLG,4998,31,161.23
2022,6,REINO UNIDO,BRITISH AIRWAYS,BAW,4989,33,151.18
2022,3,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,4980,36,138.33
2022,2,HOLANDA,KLM ROYAL DUTCH AIRLINES,KLM,4942,52,95.04
2022,12,PORTUGAL,RYANAIR DAC,RYR,4929,30,164.3
2022,7,IRLANDA,RYANAIR DAC,RYR,4923,27,182.33
2022,7,SUIZA,EASYJET SWITZERLAND SA,EZS,4902,28,175.07
2022,12,PORTUGAL,TAP AIR PORTUGAL,TAP,4885,65,75.15
2022,8,HOLANDA,"VUELING AIRLINES, S.A.",VLG,4882,31,157.48
2022,11,PORTUGAL,RYANAIR DAC,RYR,4829,30,160.97
2022,7,HOLANDA,KLM ROYAL DUTCH AIRLINES,KLM,4824,50,96.48
2022,5,MARRUECOS,RYANAIR DAC,RYR,4810,37,130
2022,5,HOLANDA,RYANAIR DAC,RYR,4794,27,177.56
2022,8,REINO UNIDO,"VUELING AIRLINES, S.A.",VLG,4784,29,164.97
2022,6,IRLANDA,RYANAIR DAC,RYR,4777,26,183.73
2022,3,PORTUGAL,RYANAIR DAC,RYR,4761,31,153.58
2022,1,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,4757,25,190.28
2022,4,BELGICA,"VUELING AIRLINES, S.A.",VLG,4710,33,142.73
2022,6,ITALIA,"VUELING AIRLINES, S.A.",VLG,4704,29,162.21
2022,5,HOLANDA,"VUELING AIRLINES, S.A.",VLG,4694,31,151.42
2022,1,BELGICA,RYANAIR DAC,RYR,4693,33,142.21
2022,3,RUMANIA,WIZZ AIR HUNGARY LTD,WZZ,4675,25,187
