Año,Mes,País,Aeropuerto,IATA,Pasajeros,Vuelos,Ratio_Pax_Vuelo
2022,12,ESPAÑA,PALMA DE MALLORCA,PMI,21468,184,116.67
2022,12,ESPAÑA,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,12943,143,90.51
2022,12,ESPAÑA,IBIZA,IBZ,9483,90,105.37
2022,12,ESPAÑA,BILBAO,BIO,8392,86,97.58
2022,12,ESPAÑA,SEVILLA,SVQ,7364,74,99.51
2022,12,ESPAÑA,SANTIAGO-ROSALÍA DE CASTRO,SCQ,5931,35,169.46
2022,12,ESPAÑA,TENERIFE NORTE-C. LA LAGUNA,TFN,5404,40,135.1
2022,12,ESPAÑA,MÁLAGA-COSTA DEL SOL,AGP,4045,39,103.72
2022,12,ESPAÑA,BARCELONA-EL PRAT J.T.,BCN,3783,44,85.98
2022,12,ESPAÑA,GRAN CANARIA,LPA,3333,25,133.32
2022,12,ESPAÑA,ASTURIAS,OVD,2919,23,126.91
2022,12,ESPAÑA,LANZAROTE CÉSAR MANRIQUE,ACE,2399,18,133.28
2022,12,ESPAÑA,TENERIFE SUR,TFS,2047,13,157.46
2022,12,ESPAÑA,SANTANDER-SEVE BALLESTEROS,SDR,1699,10,169.9
2022,12,ESPAÑA,FUERTEVENTURA,FUE,1618,14,115.57
2022,12,ESPAÑA,A CORUÑA,LCG,1100,9,122.22
2022,12,ESPAÑA,MENORCA,MAH,658,10,65.8
2022,12,ESPAÑA,ALICANTE-ELCHE MIGUEL HDEZ.,ALC,0,0,0
2022,12,ESPAÑA,VITORIA,VIT,0,22,0
2022,12,ITALIA,ROMA / FIUMICINO,FCO,10029,60,167.15
2022,12,ITALIA,MILAN/BERGAMO,BGY,8871,50,177.42
2022,12,ITALIA,BOLONIA/ GUGLIELMO MARCONI,BLQ,5857,32,183.03
2022,12,ITALIA,MILAN /MALPENSA,MXP,4895,28,174.82
2022,12,ITALIA,TREVISO/S.ANGELO (MIL),TSF,2845,16,177.81
2022,12,ITALIA,PISA / GALILEO GALILEI,PSA,1949,11,177.18
2022,12,ITALIA,BARI /PALESE,BRI,1865,11,169.55
2022,12,ITALIA,NAPOLES,NAP,1626,9,180.67
2022,12,ITALIA,TURIN /CITTA DI TORINO,TRN,1570,9,174.44
2022,12,ITALIA,PALERMO /PUNTA RAISI,PMO,1528,9,169.78
2022,12,ITALIA,TRIESTE / RONCHI DEI LEGIONARI,TRS,1528,9,169.78
2022,12,REINO UNIDO,LONDRES/GATWICK,LGW,11855,75,158.07
2022,12,REINO UNIDO,LONDRES /STANSTED,STN,9042,52,173.88
2022,12,REINO UNIDO,LONDRES / HEATHROW,LHR,3483,25,139.32
2022,12,REINO UNIDO,MANCHESTER /INTERNACIONAL,MAN,2420,14,172.86
2022,12,REINO UNIDO,EDIMBURGO/ TURNHOUSE,EDI,1410,8,176.25
2022,12,REINO UNIDO,BRISTOL,BRS,1241,8,155.12
2022,12,ALEMANIA,FRANKFURT/INTERNACIONAL,FRA,9684,57,169.89
2022,12,ALEMANIA,MUNICH /FRANZ JOSEF STRAUSS,MUC,3094,21,147.33
2022,12,ALEMANIA,DUSSELDORF,DUS,3010,19,158.42
2022,12,ALEMANIA,BERLIN BRANDENBURG,BER,2718,16,169.88
2022,12,ALEMANIA,KOELN/BONN,CGN,2522,34,74.18
2022,12,ALEMANIA,KARLSRUHE-BADEN BAD/SOELLINGEN,FKB,1624,9,180.44
2022,12,ALEMANIA,STUTTGART/ ECHTERDINGEN,STR,1360,9,151.11
2022,12,ALEMANIA,NUREMBERG,NUE,1337,8,167.12
2022,12,FRANCIA,PARIS /ORLY,ORY,13862,83,167.01
2022,12,FRANCIA,PARIS/ CHARLES DE GAULLE,CDG,6365,75,84.87
2022,12,FRANCIA,NANTES / ATLANTIQUE,NTE,1699,10,169.9
2022,12,FRANCIA,PARIS /BEAUVAIS-TILLE AIRPORT,BVA,1217,7,173.86
2022,12,FRANCIA,MARSELLA,MRS,1112,7,158.86
2022,12,FRANCIA,LYON SAINT-EXUPERY,LYS,756,5,151.2
2022,12,HOLANDA,AMSTERDAM/SCHIPHOL,AMS,13543,107,126.57
2022,12,HOLANDA,EINDHOVEN,EIN,6866,42,163.48
2022,12,HOLANDA,ROTTERDAM,RTM,1824,11,165.82
2022,12,BELGICA,BRUSELAS,BRU,7884,46,171.39
2022,12,BELGICA,BRUSELAS/CHARLEROI,CRL,4158,23,180.78
2022,12,BELGICA,LIEGE /BIERSET,LGG,0,12,0
2022,12,PORTUGAL,LISBOA,LIS,9204,93,98.97
2022,12,PORTUGAL,OPORTO,OPO,2557,16,159.81
2022,12,RUMANIA,BUCAREST /OTOPENI INTERNACIONA,OTP,4137,20,206.85
2022,12,RUMANIA,CLUJ NAPOCA/SOMESENI,CLJ,2123,12,176.92
2022,12,RUMANIA,TIMISOARA,TSR,1373,9,152.56
2022,12,SUIZA,ZURICH,ZRH,6043,45,134.29
2022,12,SUIZA,GINEBRA/COINTRIN,GVA,1187,9,131.89
2022,12,MARRUECOS,MARRAKECH /MENARA,RAK,2188,14,156.29
2022,12,MARRUECOS,TANGER /BOUKHALEF,TNG,1703,15,113.53
2022,12,MARRUECOS,FEZ/SAIS,FEZ,1265,9,140.56
