id,name,iata,icao,callsign,country,active
2,135 Airways,,GNL,GENERAL,United States,false
4,2 Sqn No 1 Elementary Flying Training School,,WYT,,United Kingdom,false
5,213 Flight Unit,,TFU,,Russia,false
6,223 Flight Unit State Airline,,CHD,CHKALOVSK-AVIA,Russia,false
7,224th Flight Unit,,TTF,CARGO UNIT,Russia,false
8,247 Jet Ltd,,TWF,CLOUD RUNNER,United Kingdom,false
9,3D Aviation,,SEC,SECUREX,United States,false
11,4D Air,,QRT,QUARTET,Thailand,false
12,611897 Alberta Limited,,THD,DONUT,Canada,false
16,Army Air Corps,,AAC,ARMYAIR,United Kingdom,false
17,Aero Aviation Centre Ltd.,,AAD,SUNRISE,Canada,false
18,Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,Mexico,false
19,Aero Biniza,,BZS,BINIZA,Mexico,false
20,Aero Albatros,,ABM,ALBATROS ESPANA,Spain,false
21,Aigle Azur,ZI,AAF,AIGLE AZUR,France,true
23,Alaska Island Air,,AAK,ALASKA ISLAND,United States,false
24,American Airlines,AA,AAL,AMERICAN,United States,true
25,Aviation Management Corporation,,AAM,AM CORP,United States,false
26,Atlantis Airlines (USA),,AAO,ATLANTIS AIR,United States,false
27,Aerovista Airlines,,AAP,AEROVISTA GROUP,United Arab Emirates,false
29,Askari Aviation,4K,AAS,AL-AAS,Pakistan,true
30,Australia Asia Airlines,,AAU,AUSTASIA,Australia,false
31,Astro Air International,,AAV,ASTRO-PHIL,United States,false
32,Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,true
33,Afrinat International Airlines,Q9,AFU,,Gambia,false
35,Allegiant Air,G4,AAY,ALLEGIANT,United States,true
36,Angus Aviation,,AAZ,ANGUS,Canada,false
37,Artem-Avia,,ABA,ARTEM-AVIA,Ukraine,false
39,Aban Air,K5,ABE,ABAN,Iran,false
40,Aerial Oy,,ABF,SKYWINGS,Finland,false
41,Abakan-Avia,,ABG,ABAKAN-AVIA,Russia,false
42,ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,true
43,Abaet,,ABJ,Abaet,Brazil,false
44,Alberta Citylink,,ABK,ALBERTA CITYLINK,Canada,false
45,APSA Colombia,,ABO,AEROEXPRESO,Colombia,false
46,Aerovias Bueno,,ABU,AEROBUENO,Colombia,false
51,ATA Brasil,,ABZ,ATA-BRAZIL,Brazil,false
52,Avcard Services,,ACC,,United Kingdom,false
53,Academy Airlines,,ACD,ACADEMY,United States,false
54,Aero Comondu,,ACO,AERO COMONDU,Mexico,false
55,Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,true
56,Air Cess,,ACS,,Liberia,false
57,Air Aurora,,AAI,BOREALIS,United States,false
58,Air Cargo Transportation System,,ACU,AFRISPIRIT,Kenya,false
59,Air Charter Service,,ACV,,United Kingdom,false
61,Air Charters,,ACX,PARAIR,Canada,false
62,Air Togo,YT,TGA,AIR TOGO,Togo,false
64,Atlas Cargo Lines,,ACY,ATLAS CARGOLINES,Morocco,false
65,Airservices Australia,,ADA,AUSCAL,Australia,false
66,Advance Leasing Company,4G,,,United States,false
69,Antonov Airlines,,ADB,ANTONOV BUREAU,Ukraine,false
70,Air Atlantic Dominicana,,ADC,ATLAN-DOMINICAN,Dominican Republic,false
71,Advanced Air Co.,,ADD,,Japan,false
73,Aerea Flying Training Organization,,ADG,AEREA TRAINING,Spain,false
74,Audeli Air,,ADI,AUDELI,Spain,false
77,Aero Dynamics,,ADL,COTSWOLD,United Kingdom,false
78,Aerolineas Dominicanas,,ADM,DOMINAIR,Dominican Republic,false
79,Aerodienst GmbH,,ADN,AERODIENST,Germany,false
80,Aerodiplomatic,,ADP,AERODIPLOMATIC,Mexico,false
81,Aerodyne,,ADY,AERODYNE,United States,false
82,Avion Taxi,,ADQ,AIR DATA,Canada,false
83,Adria Airways,JP,ADR,ADRIA,Slovenia,true
84,Aviones de Sonora,,ADS,SONORAV,Mexico,false
85,Air Dorval,,ADT,AIR DORVAL,Canada,false
86,Airdeal Oy,,ADU,AIRDEAL,Finland,false
87,Advance Air Charters,,ADV,ADVANCE,Canada,false
88,Air Andaman,,ADW,AIR ANDAMAN,Thailand,false
89,Anderson Aviation,,ADX,ANDAX,United States,false
90,Air Europa,UX,AEA,EUROPA,Spain,true
91,Air Southwest Ltd.,,ASW,AIRSOUTHWEST,Canada,false
92,Air Special,,ASX,AIRSPEC,Czech Republic,false
95,Aerotrans Airlines,,AED,,Russia,false
96,Aegean Airlines,A3,AEE,AEGEAN,Greece,true
97,Aerofumigaciones Sam,,AEG,FUMIGACIONES SAM,Chile,false
98,Aeroexpreso Interamericano,,AEI,INTERAM,Colombia,false
99,Air Express,,AEJ,KHAKI EXPRESS,Tanzania,false
100,Aerocon,,AEK,AEROCON,Bolivia,false
101,Aero Madrid,,AEM,AEROMADRID,Spain,false
102,Aeroenlaces Nacionales,,AEN,,Mexico,false
103,Aeroservicios Ejecutivos Del Occidente,,AEO,AERO OCCIDENTE,Mexico,false
104,Aerotec,,AEP,AEROTEC,Spain,false
106,Air Europe,PE,AEL,AIR EUROPE,Italy,true
107,Air Alma,,AAJ,AIR ALMA,Canada,false
108,Air Express,,AEQ,LUNA,Sweden,false
109,Alaska Central Express,KO,AER,ACE AIR,United States,true
110,ACES Colombia,,AES,ACES,Colombia,true
111,Aeronautical Radio of Thailand,,AET,AEROTHAI,Thailand,false
113,Aeroventas,,AEV,AEROVENTAS,Mexico,false
577,Alexandair,,AXN,ALEXANDROS,Greece,false
115,Airway Express,,AEX,AVCO,United States,false
