Compañía;ICAO
AEGEAN AIRLINES;AEE
AIR BALTIC CORPORATION JSC;BTI
AIR EUROPA;AEA
AIR FRANCE;AFR
AIR NOSTRUM L.A. MEDITERRANEO;ANE
AIR SERBIA;ASL
AIR TRANSAT;TSC
ASL AIRLINES BELGIUM;TAY
AUSTRIAN AIRLINES;AUA
BINTER CANARIAS;IBB
BRITISH AIRWAYS;BAW
BRUSSELS AIRLINES N.V./S.A.;BEL
DEUTSCHE LUFTHANSA A.G.;DLH
EASYJET EUROPE AIRLINE GMBH;EJU
EASYJET SWITZERLAND SA;EZS
EASYJET UK LTD ;EZY
EUROPEAN AIR TRANSPORT LEIPZIG;BCS
EUROWINGS GMBH;EWG
IBERIA;IBE
KLM ROYAL DUTCH AIRLINES;KLM
LUFTHANSA CITY AIRLINES GMBH;LLX
LUXAIR - SOCIETE LUXEMBOURGEOI;LGL
NORWEGIAN AIR SWEDEN AOC AB;NSW
ROYAL AIR MAROC;RAM
RYANAIR DAC;RYR
RYANAIR UK LIMITED;RUK
SMARTWINGS, A.S.;TVS
SWISS INTERNATIONAL AIR LINES;SWR
TAP AIR PORTUGAL;TAP
TRANSAVIA FRANCE;TVF
TRANSAVIA HOLLAND B.V;TRA
TURKISH AIRLINES;THY
UPS UNITED PARCEL SERVICE;UPS
VOLOTEA, S.L.;VOE
VUELING AIRLINES, S.A.;VLG
WIZZ AIR HUNGARY LTD;WZZ
WIZZ AIR MALTA LTD;WMT
AEROFLOT - RUSSIAN AIRLINES;AFL
AEROVIAS DE MEXICO, S.A. DE C.;AMX
AIR ALGERIE;DAH
AIR ARABIA MAROC;MAC
AIR CAIRO;MSC
AIR CANADA;ACA
AIR-TAXI EUROPE GMBH;TWG
ALITALIA, SOCIETÀ AEREA ITALIA;AZA
AMERICAN AIRLINES INC.;AAL
AURIGNY AIR SERVICES Ltd;AUR
AVIANCA;AVA
AZUL LINHAS AEREAS BRASILEIRAS;AZU
BLUE AIR AVIATIÓN, S.A;BLA
BULGARIA AIR;LZB
CATHAY PACIFIC AIRWAYS LTD.;CPA
CHINA AIRLINES;CAL
CHINA EASTERN AIRLINES;CES
CZECH AIRLINES J.S.C.;CSA
DAN AIR;DNA
DAN AIR (AOC);DNA
DELTA AIR LINES Inc.;DAL
EMIRATES;UAE
ETIHAD AIRWAYS;ETD
EVELOP AIRLINES S.L.;EVE
FEDERAL EXPRESS CORPORATION (F;FDX
FINNAIR OYJ;FIN
FLY LEVEL BARCELONA LH, SL;LVL
FLY ONE SRL;FOE
FLY PLAY ;FPY
FLYR;FOX
HAINAN AIRLINES Co. Ltd;CHH
ITALIA TRASPORTO AEREO S.P.A.;ITY
JAPAN AIR COMMUTER Co. Ltd;JAC
JAPAN AIRLINES;JAL
KENYA AIRWAYS LTD.;KQA
KOREAN AIR LINES CO, LTD.;KAL
KUWAIT AIRWAYS Corp.;KAC
LINEA AEREA NACIONAL DE CHILE ;LXP
LOT-POLSKIE LINIE LOTNICZE;LOT
MAERSK AIR CARGO A/S;SRR
MIDDLE EAST AIRLINES-AIRLIBAN;MEA
NORWEGIAN AIR SHUTTLE AOC AS;NOZ
QATAR AIRWAYS GROUP Q.C.S.C.;QTR
SATA INTERNACIONAL - AZORES AI;RZO
SCANDINAVIAN AIRLINES SYSTEM;SAS
SWIFTAIR S.A.;SWT
TAAG, LINHAS AEREAS DE ANGOLA;DTA
TAROM (ROMANIAN AIR TRANSPORT);ROT
TUI FLY (TUI AIRLINES BELGIUM);JAF
TUIFLY GMBH, LANGENHAGEN;TUI
UNITED AIRLINES INC. SUCURSAL ;UAL
WEST ATLANTIC SWEDEN AB;SWN
WESTJET AIRLINES LTD;WJA
XIAMEN AIRLINES ;CXA
