Aeropuerto;IATA
PALMA DE MALLORCA;PMI
MADRID-BARAJAS ADOLFO SUÁREZ;MAD
IBIZA;IBZ
BILBAO;BIO
SEVILLA;SVQ
SANTIAGO-ROSALÍA DE CASTRO;SCQ
TENERIFE NORTE-C. LA LAGUNA;TFN
MÁLAGA-COSTA DEL SOL;AGP
BARCELONA-EL PRAT J.T.;BCN
GRAN CANARIA;LPA
ASTURIAS;OVD
LANZAROTE CÉSAR MANRIQUE;ACE
TENERIFE SUR;TFS
SANTANDER-SEVE BALLESTEROS;SDR
FUERTEVENTURA;FUE
A CORUÑA;LCG
MENORCA;MAH
VITORIA;VIT
VIGO;VGO
SALAMANCA/ MATACAN;SLM
ALICANTE-ELCHE MIGUEL HDEZ.;ALC
BADAJOZ/ TALAVERA LA REAL;BJZ
SAN SEBASTIÁN;EAS
VALLADOLID;VLL
LA PALMA /STA.CRUZ DE LA PALMA;SPC
LEÓN;LEN
BURGOS / VILLAFRIA;RGS
ROMA / FIUMICINO;FCO
MILAN/BERGAMO;BGY
BOLONIA/ GUGLIELMO MARCONI;BLQ
MILAN /MALPENSA;MXP
TREVISO/S.ANGELO (MIL);TSF
PISA / GALILEO GALILEI;PSA
BARI /PALESE;BRI
PALERMO /PUNTA RAISI;PMO
TURIN /CITTA DI TORINO;TRN
NAPOLES;NAP
CAGLIARI / ELMAS;CAG
TRIESTE / RONCHI DEI LEGIONARI;TRS
ROMA / CIAMPINO;CIA
CATANIA/FONTANAROSSA;CTA
OLBIA / COSTA SMERALDA;OLB
VENECIA /MARCO POLO;VCE
LAMEZIA-TERME /S. EUFEMIA;SUF
VERONA /VILLAFRANCA;VRN
PESCARA / LIBERI;PSR
FRANKFURT/INTERNACIONAL;FRA
MUNICH /FRANZ JOSEF STRAUSS;MUC
DUSSELDORF;DUS
BERLIN BRANDENBURG;BER
KOELN/BONN;CGN
NUREMBERG;NUE
KARLSRUHE-BADEN BAD/SOELLINGEN;FKB
HAMBURGO/ FUHLSBUETTEL;HAM
STUTTGART/ ECHTERDINGEN;STR
BREMEN;BRE
MEMMINGEN;FMM
FRANKFURT /HAHN;HHN
WEEZE;NRN
PARIS /ORLY;ORY
PARIS/ CHARLES DE GAULLE;CDG
NANTES / ATLANTIQUE;NTE
PARIS /BEAUVAIS-TILLE AIRPORT;BVA
MARSELLA;MRS
LYON SAINT-EXUPERY;LYS
TOULOUSE /BLAGNAC;TLS
BURDEOS;BOD
NIZA /COTE D-AZUR;NCE
PERPIGNAN  /LLABANERE;PGF
LONDRES/GATWICK;LGW
LONDRES /STANSTED;STN
LONDRES / HEATHROW;LHR
MANCHESTER /INTERNACIONAL;MAN
EDIMBURGO/ TURNHOUSE;EDI
EAST MIDLANDS;EMA
BRISTOL;BRS
BELFAST / INTERNACIONAL;BFS
BIRMINGHAM / INTERNACIONAL;BHX
GUERNSEY;GCI
BOURNEMOUTH  INTL;BOH
MARRAKECH /MENARA;RAK
TANGER /BOUKHALEF;TNG
CASABLANCA/ MOHAMED V;CMN
AGADIR/AL MASSIRA;AGA
FEZ/SAIS;FEZ
AMSTERDAM/SCHIPHOL;AMS
EINDHOVEN;EIN
ROTTERDAM;RTM
BRUSELAS;BRU
BRUSELAS/CHARLEROI;CRL
LIEGE /BIERSET;LGG
ZURICH;ZRH
BASEL/MULHOUSE EUROAIRPORT CH;BSL
GINEBRA/COINTRIN;GVA
LISBOA;LIS
OPORTO;OPO
FARO;FAO
FUNCHAL / MADEIRA;FNC
CHOPINA W WARSZAWIE;WAW
GDANSK/REBIECHOWO;GDN
VARSOVIA/MODLIN;WMI
WROCLAW /STRACHOWICE;WRO
CRACOVIA /JUAN PABLO II INTERN;KRK
KATOWICE / PYRZOWICE;KTW
POZNAN /LAWICA;POZ
BUCAREST /OTOPENI INTERNACIONA;OTP
CLUJ NAPOCA/SOMESENI;CLJ
TIMISOARA;TSR
BACAU;BCM
BRASOV - GHIMBAV;GHV
IASI;IAS
DUBLIN;DUB
CORK;ORK
ISTANBUL HAVALIMANI;IST
VIENA  /INTERNACIONAL;VIE
SOFIA ;SOF
EL CAIRO / INTERNACIONAL;CAI
LUXEMBURGO;LUX
RIGA;RIX
PRAGA /RUZYNE;PRG
MALTA / LUQA;MLA
ATENAS/ATHINAI;ATH
OSLO / GARDERMOEN;OSL
PER - GYOR;QGY
BELGRADO / BEOGRAD;BEG
KYIV / BORYSPIL;KBP
MOSCU /SHEREMETYEVO;SVO
BUDAPEST/ FERIHEGY;BUD
ESTOCOLMO/ARLANDA;ARN
BILLUND;BLL
HAMAD INTERNATIONAL;DOH
CHISINAU;RMO
OSTRAVA /MOSNOV;OSR
COPENHAGUE;CPH
TIRANA;TIA
ARGEL/ HOUARI BOUMEDIEN;ALG
MONTREAL/PIERRE ELLIOT TRUDEAU;YUL
KEFLAVIK INTERNATIONAL;KEF
ANTWERPEN/DEURNE;ANR
JEREZ DE LA FRONTERA/ LA PARRA;XRY
