fecha,hora,vuelo,origen,estado
2025-11-09,10:43,RYR5034,MARRAKECH (RAK),Finalizado
2025-11-09,10:50,RYR497,MILAN/BERGAMO (BGY),Finalizado
2025-11-09,10:39,THY1301,ESTAMBUL (IST),Finalizado
2025-11-09,10:53,DLH1840,MUNICH (MUC),Finalizado
2025-11-09,10:49,EZY8009,LONDRES /GATWICK (LGW),Finalizado
2025-11-09,11:40,TAP1092,LISBOA (LIS),Aproximándose
2025-11-09,11:40,ETD2757,LISBOA (LIS),Aproximándose
2025-11-09,11:40,AZU7351,LISBOA (LIS),Aproximándose
2025-11-09,11:40,RZO8055,LISBOA (LIS),Aproximándose
2025-11-09,11:22,AEA4007,PALMA DE MALLORCA (PMI),Entrega equip.
2025-11-09,11:28,RYR6248,TREVISO/S.ANGELO (MIL) (TSF),Entrega equip.
2025-11-09,11:30,SWR2140,ZURICH (ZRH),Aproximándose
2025-11-09,12:00,BEL3751,BRUSELAS (BRU),En vuelo
2025-11-09,11:55,AFR1416,PARIS /CHARLES DE GAULLE (CDG),En vuelo
2025-11-09,12:10,IBB5804,TENERIFE NORTE-C. LA LAGUNA (TFN),En vuelo
2025-11-09,12:10,DLH1160,FRANKFURT (FRA),En vuelo
2025-11-09,12:05,VOE3582,ASTURIAS (OVD),En vuelo
2025-11-09,12:25,VLG8352,AMSTERDAM /SCHIPHOL (AMS),En vuelo
2025-11-09,12:25,IBE5683,AMSTERDAM /SCHIPHOL (AMS),En vuelo
2025-11-09,12:30,AUA431,VIENA (VIE),En vuelo
2025-11-09,12:25,RYR2301,BUDAPEST (BUD),En vuelo
2025-11-09,12:55,IBE2402,PALMA DE MALLORCA (PMI),No informado
2025-11-09,12:55,VLG5802,PALMA DE MALLORCA (PMI),No informado
2025-11-09,13:00,RYR2229,CRACOVIA (KRK),En vuelo
2025-11-09,13:15,RYR7215,PALMA DE MALLORCA (PMI),No informado
2025-11-09,13:10,VLG3103,TENERIFE NORTE-C. LA LAGUNA (TFN),En vuelo
2025-11-09,13:10,IBE5405,TENERIFE NORTE-C. LA LAGUNA (TFN),En vuelo
2025-11-09,13:35,RYR993,ROMA /FIUMICINO (FCO),No informado
2025-11-09,14:10,WMT6317,MILAN /MALPENSA (MXP),No informado
2025-11-09,14:10,VLG8153,PARIS /ORLY (ORY),No informado
2025-11-09,14:10,IBE5674,PARIS /ORLY (ORY),No informado
