Fecha,Hora,Vuelo,Origen,Estado,Aerolinea,Pais_Aerolinea,Aeropuerto,Ciudad,Pais_Origen,IATA,ICAO_Cia,PAX_Estimado,Franja_Horaria
2025-11-09,10:43,RYR5034,MARRAKECH (RAK),Finalizado,RYANAIR DAC,Ireland,Menara Airport,Marrakech,Morocco,RAK,RYR,170,Mañana
2025-11-09,10:50,RYR497,MILAN/BERGAMO (BGY),Finalizado,RYANAIR DAC,Ireland,Il Caravaggio International Airport,Bergamo,Italy,BGY,RYR,170,Mañana
2025-11-09,10:39,THY1301,ESTAMBUL (IST),Finalizado,Turkish Airlines,Turkey,Istanbul Airport,Istanbul,Turkey,IST,THY,139,Mañana
2025-11-09,10:53,DLH1840,MUNICH (MUC),Finalizado,Lufthansa,Germany,Munich Airport,Munich,Germany,MUC,DLH,159,Mañana
2025-11-09,10:49,EZY8009,LONDRES /GATWICK (LGW),Finalizado,easyJet,United Kingdom,London Gatwick Airport,London,United Kingdom,LGW,EZY,NA,Mañana
2025-11-09,11:40,TAP1092,LISBOA (LIS),Aproximándose,TAP Portugal,Portugal,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,TAP,77,Mañana
2025-11-09,11:22,AEA4007,PALMA DE MALLORCA (PMI),Entrega equip.,Air Europa,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,AEA,102,Mañana
2025-11-09,11:28,RYR6248,TREVISO/S.ANGELO (MIL) (TSF),Entrega equip.,RYANAIR DAC,Ireland,NA,NA,NA,MIL,RYR,170,Mañana
2025-11-09,11:30,SWR2140,ZURICH (ZRH),Aproximándose,Swiss International Air Lines,Switzerland,Zürich Airport,Zurich,Switzerland,ZRH,SWR,134,Mañana
2025-11-09,12:00,BEL3751,BRUSELAS (BRU),En vuelo,Brussels Airlines,Belgium,Brussels Airport,Brussels,Belgium,BRU,BEL,146,Tarde
2025-11-09,11:55,AFR1416,PARIS /CHARLES DE GAULLE (CDG),En vuelo,Air France,France,Charles de Gaulle International Airport,Paris,France,CDG,AFR,80,Mañana
2025-11-09,12:10,IBB5804,TENERIFE NORTE-C. LA LAGUNA (TFN),En vuelo,Binter Canarias,Spain,Tenerife Norte Airport,Tenerife,Spain,TFN,IBB,97,Tarde
2025-11-09,12:10,DLH1160,FRANKFURT (FRA),En vuelo,Lufthansa,Germany,Frankfurt am Main Airport,Frankfurt,Germany,FRA,DLH,159,Tarde
2025-11-09,12:05,VOE3582,ASTURIAS (OVD),En vuelo,VOLOTEA Airways,Spain,Asturias Airport,Aviles,Spain,OVD,VOE,150,Tarde
2025-11-09,12:25,VLG8352,AMSTERDAM /SCHIPHOL (AMS),En vuelo,Vueling Airlines,Spain,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,VLG,152,Tarde
2025-11-09,12:30,AUA431,VIENA (VIE),En vuelo,Austrian Airlines,Austria,Vienna International Airport,Vienna,Austria,VIE,AUA,149,Tarde
2025-11-09,12:25,RYR2301,BUDAPEST (BUD),En vuelo,RYANAIR DAC,Ireland,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,RYR,170,Tarde
2025-11-09,12:55,IBE2402,PALMA DE MALLORCA (PMI),No informado,Iberia Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,IBE,1,Tarde
2025-11-09,13:00,RYR2229,CRACOVIA (KRK),En vuelo,RYANAIR DAC,Ireland,Kraków John Paul II International Airport,Krakow,Poland,KRK,RYR,170,Tarde
2025-11-09,13:15,RYR7215,PALMA DE MALLORCA (PMI),No informado,RYANAIR DAC,Ireland,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,RYR,170,Tarde
2025-11-09,13:10,VLG3103,TENERIFE NORTE-C. LA LAGUNA (TFN),En vuelo,Vueling Airlines,Spain,Tenerife Norte Airport,Tenerife,Spain,TFN,VLG,152,Tarde
2025-11-09,13:35,RYR993,ROMA /FIUMICINO (FCO),No informado,RYANAIR DAC,Ireland,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,RYR,170,Tarde
2025-11-09,14:10,WMT6317,MILAN /MALPENSA (MXP),No informado,Wizz Air Malta,Malta,Malpensa International Airport,Milano,Italy,MXP,WMT,198,Tarde
2025-11-09,14:10,VLG8153,PARIS /ORLY (ORY),No informado,Vueling Airlines,Spain,Paris-Orly Airport,Paris,France,ORY,VLG,152,Tarde
2025-11-09,14:10,RYR952,PISA / GALILEO GALILEI (PSA),No informado,RYANAIR DAC,Ireland,Pisa International Airport,Pisa,Italy,PSA,RYR,170,Tarde
2025-11-09,14:40,WMT6027,ROMA /FIUMICINO (FCO),No informado,Wizz Air Malta,Malta,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,WMT,198,Tarde
2025-11-09,14:50,RYR1718,EINDHOVEN (EIN),No informado,RYANAIR DAC,Ireland,Eindhoven Airport,Eindhoven,Netherlands,EIN,RYR,170,Tarde
2025-11-09,14:55,RYR2215,SANTANDER-SEVE BALLESTEROS (SDR),No informado,RYANAIR DAC,Ireland,Santander Airport,Santander,Spain,SDR,RYR,170,Tarde
2025-11-09,15:10,RYR2217,MARRAKECH (RAK),No informado,RYANAIR DAC,Ireland,Menara Airport,Marrakech,Morocco,RAK,RYR,170,Tarde
2025-11-09,15:10,RYR2259,TURIN (TRN),No informado,RYANAIR DAC,Ireland,Turin Airport,Torino,Italy,TRN,RYR,170,Tarde
2025-11-09,15:25,VLG3952,PALMA DE MALLORCA (PMI),No informado,Vueling Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,VLG,152,Tarde
2025-11-09,16:10,KLM1531,AMSTERDAM /SCHIPHOL (AMS),No informado,KLM Royal Dutch Airlines,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,KLM,101,Tarde
2025-11-09,16:10,RYR1780,BADEN BADEN-KARLSRUHE (FKB) (FKB),No informado,RYANAIR DAC,Ireland,Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,Germany,FKB,RYR,170,Tarde
2025-11-09,16:15,VLG3966,BILBAO (BIO),No informado,Vueling Airlines,Spain,Bilbao Airport,Bilbao,Spain,BIO,VLG,152,Tarde
2025-11-09,16:15,AEA4065,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Air Europa,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,AEA,102,Tarde
2025-11-09,16:20,RYR1710,OPORTO (OPO),No informado,RYANAIR DAC,Ireland,Francisco de Sá Carneiro Airport,Porto,Portugal,OPO,RYR,170,Tarde
2025-11-09,16:40,RYR1092,EDIMBURGO (EDI),No informado,RYANAIR DAC,Ireland,Edinburgh Airport,Edinburgh,United Kingdom,EDI,RYR,170,Tarde
2025-11-09,17:05,IBE1081,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Iberia Airlines,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,IBE,1,Tarde
2025-11-09,17:05,RYR1770,MARSELLA (MRS),No informado,RYANAIR DAC,Ireland,Marseille Provence Airport,Marseille,France,MRS,RYR,170,Tarde
2025-11-09,17:05,VLG3964,SEVILLA (SVQ),No informado,Vueling Airlines,Spain,Sevilla Airport,Sevilla,Spain,SVQ,VLG,152,Tarde
2025-11-09,17:10,THY1313,ESTAMBUL (IST),No informado,Turkish Airlines,Turkey,Istanbul Airport,Istanbul,Turkey,IST,THY,139,Tarde
2025-11-09,17:20,RYR999,ROMA /FIUMICINO (FCO),No informado,RYANAIR DAC,Ireland,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,RYR,170,Tarde
2025-11-09,17:25,VOE3536,BILBAO (BIO),No informado,VOLOTEA Airways,Spain,Bilbao Airport,Bilbao,Spain,BIO,VOE,150,Tarde
2025-11-09,17:30,DLH1162,FRANKFURT (FRA),No informado,Lufthansa,Germany,Frankfurt am Main Airport,Frankfurt,Germany,FRA,DLH,159,Tarde
2025-11-09,17:45,DLH2640,MUNICH (MUC),No informado,Lufthansa,Germany,Munich Airport,Munich,Germany,MUC,DLH,159,Tarde
2025-11-09,17:55,AFR1420,PARIS /CHARLES DE GAULLE (CDG),No informado,Air France,France,Charles de Gaulle International Airport,Paris,France,CDG,AFR,80,Tarde
2025-11-09,18:05,RYR1699,IBIZA (IBZ),No informado,RYANAIR DAC,Ireland,Ibiza Airport,Ibiza,Spain,IBZ,RYR,170,Noche
2025-11-09,18:25,RAM968,CASABLANCA /MOHAMED V (CMN),No informado,Royal Air Maroc,Morocco,Mohammed V International Airport,Casablanca,Morocco,CMN,RAM,33,Noche
2025-11-09,18:25,IBB5802,GRAN CANARIA (LPA),No informado,Binter Canarias,Spain,Gran Canaria Airport,Gran Canaria,Spain,LPA,IBB,97,Noche
2025-11-09,18:40,VLG8473,LONDRES /GATWICK (LGW),No informado,Vueling Airlines,Spain,London Gatwick Airport,London,United Kingdom,LGW,VLG,152,Noche
2025-11-09,18:40,RYR4486,PALERMO /PUNTA RAISI (PMO),No informado,RYANAIR DAC,Ireland,Falcone–Borsellino Airport,Palermo,Italy,PMO,RYR,170,Noche
2025-11-09,18:50,WZZ2385,BUDAPEST (BUD),No informado,Wizz Air,Hungary,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,WZZ,196,Noche
2025-11-09,19:00,SWR2146,ZURICH (ZRH),No informado,Swiss International Air Lines,Switzerland,Zürich Airport,Zurich,Switzerland,ZRH,SWR,134,Noche
2025-11-09,19:05,EWG538,KOELN/BONN (CGN),No informado,Eurowings,Germany,Cologne Bonn Airport,Cologne,Germany,CGN,EWG,108,Noche
