"Año";"Mes";"País";"Aeropuerto";"Operaciones Totales";"Pasajeros Totales"
"2022";"Abril      de 2022";"ALEMANIA";"BERLIN BRANDENBURG";"22,000";"3,835"
"2022";"Abril      de 2022";"ALEMANIA";"DUSSELDORF";"27,000";"4,099"
"2022";"Abril      de 2022";"ALEMANIA";"FRANKFURT/INTERNACIONAL";"77,000";"12,296"
"2022";"Abril      de 2022";"ALEMANIA";"HAMBURGO/ FUHLSBUETTEL";"21,000";"2,940"
"2022";"Abril      de 2022";"ALEMANIA";"KARLSRUHE-BADEN BAD/SOELLINGEN";"9,000";"1,575"
"2022";"Abril      de 2022";"ALEMANIA";"KOELN/BONN";"27,000";"1,616"
"2022";"Abril      de 2022";"ALEMANIA";"MUNICH /FRANZ JOSEF STRAUSS";"31,000";"4,154"
"2022";"Abril      de 2022";"ALEMANIA";"NUREMBERG";"8,000";"1,411"
"2022";"Abril      de 2022";"ALEMANIA";"STUTTGART/ ECHTERDINGEN";"13,000";"1,758"
"2022";"Abril      de 2022";"ALEMANIA";"Total";"235,000";"33,684"
"2022";"Abril      de 2022";"AUSTRIA";"Total";"22,000";"3,754"
"2022";"Abril      de 2022";"AUSTRIA";"VIENA  /INTERNACIONAL";"22,000";"3,754"
"2022";"Abril      de 2022";"BELGICA";"BRUSELAS";"85,000";"12,931"
"2022";"Abril      de 2022";"BELGICA";"BRUSELAS/CHARLEROI";"17,000";"2,945"
"2022";"Abril      de 2022";"BELGICA";"LIEGE /BIERSET";"14,000";"0,000"
"2022";"Abril      de 2022";"BELGICA";"Total";"116,000";"15,876"
"2022";"Abril      de 2022";"BULGARIA";"SOFIA ";"12,000";"1,784"
"2022";"Abril      de 2022";"BULGARIA";"Total";"12,000";"1,784"
"2022";"Abril      de 2022";"ESPAÑA";"A CORUÑA";"14,000";"1,418"
"2022";"Abril      de 2022";"ESPAÑA";"ASTURIAS";"17,000";"2,519"
"2022";"Abril      de 2022";"ESPAÑA";"BADAJOZ/ TALAVERA LA REAL";"1,000";"9,000"
"2022";"Abril      de 2022";"ESPAÑA";"BARCELONA-EL PRAT J.T.";"25,000";"2,802"
"2022";"Abril      de 2022";"ESPAÑA";"BILBAO";"81,000";"7,560"
"2022";"Abril      de 2022";"ESPAÑA";"FUERTEVENTURA";"8,000";"900,000"
"2022";"Abril      de 2022";"ESPAÑA";"GRAN CANARIA";"31,000";"4,819"
"2022";"Abril      de 2022";"ESPAÑA";"IBIZA";"130,000";"14,044"
"2022";"Abril      de 2022";"ESPAÑA";"LANZAROTE CÉSAR MANRIQUE";"11,000";"1,687"
"2022";"Abril      de 2022";"ESPAÑA";"MADRID-BARAJAS ADOLFO SUÁREZ";"150,000";"10,822"
"2022";"Abril      de 2022";"ESPAÑA";"MÁLAGA-COSTA DEL SOL";"38,000";"3,598"
"2022";"Abril      de 2022";"ESPAÑA";"MENORCA";"70,000";"6,733"
"2022";"Abril      de 2022";"ESPAÑA";"PALMA DE MALLORCA";"255,000";"28,494"
"2022";"Abril      de 2022";"ESPAÑA";"SALAMANCA/ MATACAN";"1,000";"89,000"
"2022";"Abril      de 2022";"ESPAÑA";"SANTANDER-SEVE BALLESTEROS";"13,000";"2,076"
"2022";"Abril      de 2022";"ESPAÑA";"SANTIAGO-ROSALÍA DE CASTRO";"45,000";"6,373"
"2022";"Abril      de 2022";"ESPAÑA";"SEVILLA";"108,000";"10,335"
"2022";"Abril      de 2022";"ESPAÑA";"TENERIFE NORTE-C. LA LAGUNA";"40,000";"5,829"
"2022";"Abril      de 2022";"ESPAÑA";"TENERIFE SUR";"8,000";"1,363"
"2022";"Abril      de 2022";"ESPAÑA";"Total";"1,076";"112,216"
"2022";"Abril      de 2022";"ESPAÑA";"VIGO";"11,000";"695,000"
"2022";"Abril      de 2022";"ESPAÑA";"VITORIA";"19,000";"0,000"
"2022";"Abril      de 2022";"FRANCIA";"BURDEOS";"9,000";"1,442"
"2022";"Abril      de 2022";"FRANCIA";"LYON SAINT-EXUPERY";"5,000";"742,000"
"2022";"Abril      de 2022";"FRANCIA";"MARSELLA";"8,000";"1,344"
"2022";"Abril      de 2022";"FRANCIA";"NANTES / ATLANTIQUE";"8,000";"1,414"
"2022";"Abril      de 2022";"FRANCIA";"PARIS /BEAUVAIS-TILLE AIRPORT";"9,000";"1,568"
"2022";"Abril      de 2022";"FRANCIA";"PARIS /ORLY";"84,000";"13,039"
"2022";"Abril      de 2022";"FRANCIA";"PARIS/ CHARLES DE GAULLE";"65,000";"8,389"
"2022";"Abril      de 2022";"FRANCIA";"PERPIGNAN  /LLABANERE";"9,000";"580,000"
"2022";"Abril      de 2022";"FRANCIA";"Total";"210,000";"30,348"
"2022";"Abril      de 2022";"FRANCIA";"TOULOUSE /BLAGNAC";"13,000";"1,830"
"2022";"Abril      de 2022";"HOLANDA";"AMSTERDAM/SCHIPHOL";"122,000";"15,984"
"2022";"Abril      de 2022";"HOLANDA";"EINDHOVEN";"76,000";"12,813"
"2022";"Abril      de 2022";"HOLANDA";"ROTTERDAM";"17,000";"2,376"
"2022";"Abril      de 2022";"HOLANDA";"Total";"215,000";"31,173"
"2022";"Abril      de 2022";"HUNGRIA";"BUDAPEST/ FERIHEGY";"8,000";"1,449"
"2022";"Abril      de 2022";"HUNGRIA";"Total";"8,000";"1,449"
"2022";"Abril      de 2022";"IRLANDA";"DUBLIN";"16,000";"2,838"
"2022";"Abril      de 2022";"IRLANDA";"Total";"16,000";"2,838"
"2022";"Abril      de 2022";"ITALIA";"BARI /PALESE";"8,000";"1,346"
"2022";"Abril      de 2022";"ITALIA";"BOLONIA/ GUGLIELMO MARCONI";"30,000";"5,205"
"2022";"Abril      de 2022";"ITALIA";"CAGLIARI / ELMAS";"8,000";"1,231"
"2022";"Abril      de 2022";"ITALIA";"MILAN /MALPENSA";"35,000";"6,042"
"2022";"Abril      de 2022";"ITALIA";"MILAN/BERGAMO";"34,000";"6,057"
"2022";"Abril      de 2022";"ITALIA";"NAPOLES";"12,000";"1,979"
"2022";"Abril      de 2022";"ITALIA";"PALERMO /PUNTA RAISI";"9,000";"1,458"
"2022";"Abril      de 2022";"ITALIA";"PISA / GALILEO GALILEI";"21,000";"3,289"
"2022";"Abril      de 2022";"ITALIA";"ROMA / FIUMICINO";"64,000";"10,459"
"2022";"Abril      de 2022";"ITALIA";"Total";"256,000";"42,999"
"2022";"Abril      de 2022";"ITALIA";"TREVISO/S.ANGELO (MIL)";"17,000";"2,802"
"2022";"Abril      de 2022";"ITALIA";"TRIESTE / RONCHI DEI LEGIONARI";"9,000";"1,556"
"2022";"Abril      de 2022";"ITALIA";"TURIN /CITTA DI TORINO";"9,000";"1,575"
"2022";"Abril      de 2022";"LETONIA";"RIGA";"4,000";"483,000"
"2022";"Abril      de 2022";"LETONIA";"Total";"4,000";"483,000"
"2022";"Abril      de 2022";"LUXEMBURGO";"LUXEMBURGO";"9,000";"474,000"
"2022";"Abril      de 2022";"LUXEMBURGO";"Total";"9,000";"474,000"
"2022";"Abril      de 2022";"MALTA";"MALTA / LUQA";"13,000";"1,869"
"2022";"Abril      de 2022";"MALTA";"Total";"13,000";"1,869"
"2022";"Abril      de 2022";"MARRUECOS";"AGADIR/AL MASSIRA";"9,000";"689,000"
"2022";"Abril      de 2022";"MARRUECOS";"CASABLANCA/ MOHAMED V";"17,000";"720,000"
"2022";"Abril      de 2022";"MARRUECOS";"FEZ/SAIS";"4,000";"620,000"
"2022";"Abril      de 2022";"MARRUECOS";"MARRAKECH /MENARA";"13,000";"2,006"
"2022";"Abril      de 2022";"MARRUECOS";"TANGER /BOUKHALEF";"15,000";"1,309"
"2022";"Abril      de 2022";"MARRUECOS";"Total";"58,000";"5,344"
"2022";"Abril      de 2022";"POLONIA";"CRACOVIA /JUAN PABLO II INTERN";"8,000";"1,445"
"2022";"Abril      de 2022";"POLONIA";"GDANSK/REBIECHOWO";"9,000";"1,557"
"2022";"Abril      de 2022";"POLONIA";"Total";"17,000";"3,002"
"2022";"Abril      de 2022";"PORTUGAL";"FARO";"9,000";"978,000"
"2022";"Abril      de 2022";"PORTUGAL";"LISBOA";"87,000";"7,658"
"2022";"Abril      de 2022";"PORTUGAL";"OPORTO";"21,000";"3,485"
"2022";"Abril      de 2022";"PORTUGAL";"Total";"117,000";"12,121"
"2022";"Abril      de 2022";"REINO UNIDO";"BRISTOL";"9,000";"1,468"
"2022";"Abril      de 2022";"REINO UNIDO";"EAST MIDLANDS";"9,000";"1,437"
"2022";"Abril      de 2022";"REINO UNIDO";"EDIMBURGO/ TURNHOUSE";"9,000";"1,494"
"2022";"Abril      de 2022";"REINO UNIDO";"LONDRES / HEATHROW";"24,000";"3,035"
"2022";"Abril      de 2022";"REINO UNIDO";"LONDRES /STANSTED";"43,000";"7,033"
"2022";"Abril      de 2022";"REINO UNIDO";"LONDRES/GATWICK";"105,000";"15,221"
"2022";"Abril      de 2022";"REINO UNIDO";"MANCHESTER /INTERNACIONAL";"17,000";"2,878"
"2022";"Abril      de 2022";"REINO UNIDO";"Total";"216,000";"32,566"
"2022";"Abril      de 2022";"REPUBLICA CHECA";"PRAGA /RUZYNE";"11,000";"1,363"
"2022";"Abril      de 2022";"REPUBLICA CHECA";"Total";"11,000";"1,363"
"2022";"Abril      de 2022";"REPUBLICA DE SERBIA";"BELGRADO / BEOGRAD";"4,000";"455,000"
"2022";"Abril      de 2022";"REPUBLICA DE SERBIA";"Total";"4,000";"455,000"
"2022";"Abril      de 2022";"RUMANIA";"BUCAREST /OTOPENI INTERNACIONA";"31,000";"5,365"
"2022";"Abril      de 2022";"RUMANIA";"CLUJ NAPOCA/SOMESENI";"12,000";"2,193"
"2022";"Abril      de 2022";"RUMANIA";"TIMISOARA";"8,000";"1,215"
"2022";"Abril      de 2022";"RUMANIA";"Total";"51,000";"8,773"
"2022";"Abril      de 2022";"SUIZA";"BASEL/MULHOUSE EUROAIRPORT CH";"13,000";"2,122"
"2022";"Abril      de 2022";"SUIZA";"GINEBRA/COINTRIN";"9,000";"1,068"
"2022";"Abril      de 2022";"SUIZA";"Total";"80,000";"11,073"
"2022";"Abril      de 2022";"SUIZA";"ZURICH";"58,000";"7,883"
"2022";"Abril      de 2022";"TURQUIA";"ISTANBUL HAVALIMANI";"33,000";"4,514"
"2022";"Abril      de 2022";"TURQUIA";"Total";"33,000";"4,514"
"2022";"Agosto     de 2022";"ALEMANIA";"BERLIN BRANDENBURG";"18,000";"2,930"
"2022";"Agosto     de 2022";"ALEMANIA";"DUSSELDORF";"31,000";"4,342"
"2022";"Agosto     de 2022";"ALEMANIA";"FRANKFURT/INTERNACIONAL";"78,000";"12,193"
"2022";"Agosto     de 2022";"ALEMANIA";"HAMBURGO/ FUHLSBUETTEL";"22,000";"2,790"
"2022";"Agosto     de 2022";"ALEMANIA";"KARLSRUHE-BADEN BAD/SOELLINGEN";"9,000";"1,626"
"2022";"Agosto     de 2022";"ALEMANIA";"KOELN/BONN";"41,000";"3,107"
"2022";"Agosto     de 2022";"ALEMANIA";"MUNICH /FRANZ JOSEF STRAUSS";"31,000";"4,366"
"2022";"Agosto     de 2022";"ALEMANIA";"NUREMBERG";"8,000";"1,439"
"2022";"Agosto     de 2022";"ALEMANIA";"STUTTGART/ ECHTERDINGEN";"18,000";"2,685"
"2022";"Agosto     de 2022";"ALEMANIA";"Total";"256,000";"35,478"
"2022";"Agosto     de 2022";"AUSTRIA";"Total";"43,000";"7,179"
"2022";"Agosto     de 2022";"AUSTRIA";"VIENA  /INTERNACIONAL";"43,000";"7,179"
"2022";"Agosto     de 2022";"BELGICA";"BRUSELAS";"76,000";"11,489"
"2022";"Agosto     de 2022";"BELGICA";"BRUSELAS/CHARLEROI";"17,000";"2,900"
"2022";"Agosto     de 2022";"BELGICA";"LIEGE /BIERSET";"18,000";"0,000"
"2022";"Agosto     de 2022";"BELGICA";"Total";"111,000";"14,389"
"2022";"Agosto     de 2022";"BULGARIA";"SOFIA ";"13,000";"2,289"
"2022";"Agosto     de 2022";"BULGARIA";"Total";"13,000";"2,289"
"2022";"Agosto     de 2022";"ESPAÑA";"A CORUÑA";"9,000";"1,374"
"2022";"Agosto     de 2022";"ESPAÑA";"ASTURIAS";"16,000";"2,428"
"2022";"Agosto     de 2022";"ESPAÑA";"BARCELONA-EL PRAT J.T.";"26,000";"3,219"
"2022";"Agosto     de 2022";"ESPAÑA";"BILBAO";"37,000";"5,045"
"2022";"Agosto     de 2022";"ESPAÑA";"FUERTEVENTURA";"8,000";"1,397"
"2022";"Agosto     de 2022";"ESPAÑA";"GRAN CANARIA";"39,000";"5,930"
"2022";"Agosto     de 2022";"ESPAÑA";"IBIZA";"133,000";"17,362"
"2022";"Agosto     de 2022";"ESPAÑA";"LANZAROTE CÉSAR MANRIQUE";"31,000";"3,910"
"2022";"Agosto     de 2022";"ESPAÑA";"MADRID-BARAJAS ADOLFO SUÁREZ";"155,000";"13,849"
"2022";"Agosto     de 2022";"ESPAÑA";"MÁLAGA-COSTA DEL SOL";"30,000";"3,266"
"2022";"Agosto     de 2022";"ESPAÑA";"MENORCA";"97,000";"11,595"
"2022";"Agosto     de 2022";"ESPAÑA";"PALMA DE MALLORCA";"270,000";"40,492"
"2022";"Agosto     de 2022";"ESPAÑA";"SANTANDER-SEVE BALLESTEROS";"21,000";"3,682"
"2022";"Agosto     de 2022";"ESPAÑA";"SANTIAGO-ROSALÍA DE CASTRO";"49,000";"8,675"
"2022";"Agosto     de 2022";"ESPAÑA";"SEVILLA";"44,000";"6,379"
"2022";"Agosto     de 2022";"ESPAÑA";"TENERIFE NORTE-C. LA LAGUNA";"49,000";"7,433"
"2022";"Agosto     de 2022";"ESPAÑA";"TENERIFE SUR";"8,000";"1,429"
"2022";"Agosto     de 2022";"ESPAÑA";"Total";"1,072";"139,286"
"2022";"Agosto     de 2022";"ESPAÑA";"VIGO";"27,000";"1,821"
"2022";"Agosto     de 2022";"ESPAÑA";"VITORIA";"23,000";"0,000"
"2022";"Agosto     de 2022";"FRANCIA";"BURDEOS";"13,000";"2,059"
"2022";"Agosto     de 2022";"FRANCIA";"LYON SAINT-EXUPERY";"9,000";"1,355"
"2022";"Agosto     de 2022";"FRANCIA";"MARSELLA";"23,000";"3,597"
"2022";"Agosto     de 2022";"FRANCIA";"NANTES / ATLANTIQUE";"8,000";"1,412"
"2022";"Agosto     de 2022";"FRANCIA";"NIZA /COTE D-AZUR";"9,000";"306,000"
"2022";"Agosto     de 2022";"FRANCIA";"PARIS /BEAUVAIS-TILLE AIRPORT";"9,000";"1,512"
"2022";"Agosto     de 2022";"FRANCIA";"PARIS /ORLY";"99,000";"15,877"
"2022";"Agosto     de 2022";"FRANCIA";"PARIS/ CHARLES DE GAULLE";"81,000";"9,815"
"2022";"Agosto     de 2022";"FRANCIA";"PERPIGNAN  /LLABANERE";"9,000";"977,000"
"2022";"Agosto     de 2022";"FRANCIA";"Total";"277,000";"39,382"
"2022";"Agosto     de 2022";"FRANCIA";"TOULOUSE /BLAGNAC";"17,000";"2,472"
"2022";"Agosto     de 2022";"GRECIA";"ATENAS/ATHINAI";"9,000";"1,364"
"2022";"Agosto     de 2022";"GRECIA";"Total";"9,000";"1,364"
"2022";"Agosto     de 2022";"HOLANDA";"AMSTERDAM/SCHIPHOL";"100,000";"11,681"
"2022";"Agosto     de 2022";"HOLANDA";"EINDHOVEN";"73,000";"12,376"
"2022";"Agosto     de 2022";"HOLANDA";"ROTTERDAM";"17,000";"2,783"
"2022";"Agosto     de 2022";"HOLANDA";"Total";"190,000";"26,840"
"2022";"Agosto     de 2022";"HUNGRIA";"BUDAPEST/ FERIHEGY";"9,000";"1,641"
"2022";"Agosto     de 2022";"HUNGRIA";"Total";"9,000";"1,641"
"2022";"Agosto     de 2022";"IRLANDA";"CORK";"8,000";"1,385"
"2022";"Agosto     de 2022";"IRLANDA";"DUBLIN";"17,000";"3,055"
"2022";"Agosto     de 2022";"IRLANDA";"Total";"25,000";"4,440"
"2022";"Agosto     de 2022";"ITALIA";"BARI /PALESE";"9,000";"1,608"
"2022";"Agosto     de 2022";"ITALIA";"BOLONIA/ GUGLIELMO MARCONI";"48,000";"8,673"
"2022";"Agosto     de 2022";"ITALIA";"CAGLIARI / ELMAS";"13,000";"2,242"
"2022";"Agosto     de 2022";"ITALIA";"MILAN /MALPENSA";"35,000";"6,177"
"2022";"Agosto     de 2022";"ITALIA";"MILAN/BERGAMO";"40,000";"7,172"
"2022";"Agosto     de 2022";"ITALIA";"NAPOLES";"13,000";"2,336"
"2022";"Agosto     de 2022";"ITALIA";"PALERMO /PUNTA RAISI";"9,000";"1,582"
"2022";"Agosto     de 2022";"ITALIA";"PISA / GALILEO GALILEI";"31,000";"5,435"
