"Año";"Mes";"País";"Compañía";"Operaciones Totales";"Pasajeros Totales"
"2022";"Abril      de 2022";"ALEMANIA";"DEUTSCHE LUFTHANSA A.G.";"107,000";"16,264"
"2022";"Abril      de 2022";"ALEMANIA";"EASYJET EUROPE AIRLINE GMBH";"9,000";"1,479"
"2022";"Abril      de 2022";"ALEMANIA";"EUROWINGS GMBH";"52,000";"7,240"
"2022";"Abril      de 2022";"ALEMANIA";"RYANAIR DAC";"48,000";"8,515"
"2022";"Abril      de 2022";"ALEMANIA";"Total";"235,000";"33,684"
"2022";"Abril      de 2022";"ALEMANIA";"TUIFLY GMBH, LANGENHAGEN";"1,000";"186,000"
"2022";"Abril      de 2022";"ALEMANIA";"UNITED AIRLINES INC. SUCURSAL ";"0,000";NA
"2022";"Abril      de 2022";"ALEMANIA";"UPS UNITED PARCEL SERVICE";"18,000";"0,000"
"2022";"Abril      de 2022";"AUSTRIA";"RYANAIR DAC";"22,000";"3,754"
"2022";"Abril      de 2022";"AUSTRIA";"Total";"22,000";"3,754"
"2022";"Abril      de 2022";"BELGICA";"ASL AIRLINES BELGIUM";"14,000";"0,000"
"2022";"Abril      de 2022";"BELGICA";"BRUSSELS AIRLINES N.V./S.A.";"19,000";"2,968"
"2022";"Abril      de 2022";"BELGICA";"IBERIA";"0,000";NA
"2022";"Abril      de 2022";"BELGICA";"RYANAIR DAC";"41,000";"7,144"
"2022";"Abril      de 2022";"BELGICA";"Total";"116,000";"15,876"
"2022";"Abril      de 2022";"BELGICA";"TUI FLY (TUI AIRLINES BELGIUM)";"9,000";"1,054"
"2022";"Abril      de 2022";"BELGICA";"VUELING AIRLINES, S.A.";"33,000";"4,710"
"2022";"Abril      de 2022";"BULGARIA";"Total";"12,000";"1,784"
"2022";"Abril      de 2022";"BULGARIA";"WIZZ AIR HUNGARY LTD";"12,000";"1,784"
"2022";"Abril      de 2022";"ESPAÑA";"AEROVIAS DE MEXICO, S.A. DE C.";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"AIR EUROPA";"117,000";"10,556"
"2022";"Abril      de 2022";"ESPAÑA";"AIR NOSTRUM L.A. MEDITERRANEO";"377,000";"21,915"
"2022";"Abril      de 2022";"ESPAÑA";"AMERICAN AIRLINES INC.";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"ASL AIRLINES BELGIUM";"1,000";"0,000"
"2022";"Abril      de 2022";"ESPAÑA";"AVIANCA";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"BRITISH AIRWAYS";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"ETIHAD AIRWAYS";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"EUROPEAN AIR TRANSPORT LEIPZIG";"19,000";"0,000"
"2022";"Abril      de 2022";"ESPAÑA";"HAINAN AIRLINES Co. Ltd";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"IBERIA";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"ITALIA TRASPORTO AEREO S.P.A.";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"LINEA AEREA NACIONAL DE CHILE ";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"QATAR AIRWAYS GROUP Q.C.S.C.";"0,000";NA
"2022";"Abril      de 2022";"ESPAÑA";"RYANAIR DAC";"286,000";"44,028"
"2022";"Abril      de 2022";"ESPAÑA";"Total";"1,076";"112,216"
"2022";"Abril      de 2022";"ESPAÑA";"VOLOTEA, S.L.";"39,000";"5,683"
"2022";"Abril      de 2022";"ESPAÑA";"VUELING AIRLINES, S.A.";"237,000";"30,034"
"2022";"Abril      de 2022";"FRANCIA";"AIR FRANCE";"60,000";"8,389"
"2022";"Abril      de 2022";"FRANCIA";"ASL AIRLINES BELGIUM";"5,000";"0,000"
"2022";"Abril      de 2022";"FRANCIA";"IBERIA";"0,000";NA
"2022";"Abril      de 2022";"FRANCIA";"RYANAIR DAC";"56,000";"8,178"
"2022";"Abril      de 2022";"FRANCIA";"Total";"210,000";"30,348"
"2022";"Abril      de 2022";"FRANCIA";"TRANSAVIA FRANCE";"24,000";"3,660"
"2022";"Abril      de 2022";"FRANCIA";"VOLOTEA, S.L.";"5,000";"742,000"
"2022";"Abril      de 2022";"FRANCIA";"VUELING AIRLINES, S.A.";"60,000";"9,379"
"2022";"Abril      de 2022";"HOLANDA";"DELTA AIR LINES Inc.";"0,000";NA
"2022";"Abril      de 2022";"HOLANDA";"IBERIA";"0,000";NA
"2022";"Abril      de 2022";"HOLANDA";"KLM ROYAL DUTCH AIRLINES";"59,000";"5,906"
"2022";"Abril      de 2022";"HOLANDA";"QATAR AIRWAYS GROUP Q.C.S.C.";"0,000";NA
"2022";"Abril      de 2022";"HOLANDA";"RYANAIR DAC";"21,000";"3,720"
"2022";"Abril      de 2022";"HOLANDA";"Total";"215,000";"31,173"
"2022";"Abril      de 2022";"HOLANDA";"TRANSAVIA HOLLAND B.V";"114,000";"18,217"
"2022";"Abril      de 2022";"HOLANDA";"VUELING AIRLINES, S.A.";"21,000";"3,330"
"2022";"Abril      de 2022";"HUNGRIA";"RYANAIR DAC";"8,000";"1,449"
"2022";"Abril      de 2022";"HUNGRIA";"Total";"8,000";"1,449"
"2022";"Abril      de 2022";"IRLANDA";"RYANAIR DAC";"16,000";"2,838"
"2022";"Abril      de 2022";"IRLANDA";"Total";"16,000";"2,838"
"2022";"Abril      de 2022";"ITALIA";"IBERIA";"0,000";NA
"2022";"Abril      de 2022";"ITALIA";"QATAR AIRWAYS GROUP Q.C.S.C.";"0,000";NA
"2022";"Abril      de 2022";"ITALIA";"RYANAIR DAC";"226,000";"38,331"
"2022";"Abril      de 2022";"ITALIA";"Total";"256,000";"42,999"
"2022";"Abril      de 2022";"ITALIA";"VUELING AIRLINES, S.A.";"30,000";"4,668"
"2022";"Abril      de 2022";"LETONIA";"AIR BALTIC CORPORATION JSC";"4,000";"483,000"
"2022";"Abril      de 2022";"LETONIA";"Total";"4,000";"483,000"
"2022";"Abril      de 2022";"LUXEMBURGO";"LUXAIR - SOCIETE LUXEMBOURGEOI";"9,000";"474,000"
"2022";"Abril      de 2022";"LUXEMBURGO";"Total";"9,000";"474,000"
"2022";"Abril      de 2022";"MALTA";"RYANAIR DAC";"13,000";"1,869"
"2022";"Abril      de 2022";"MALTA";"Total";"13,000";"1,869"
"2022";"Abril      de 2022";"MARRUECOS";"AIR ARABIA MAROC";"7,000";"350,000"
"2022";"Abril      de 2022";"MARRUECOS";"ROYAL AIR MAROC";"17,000";"720,000"
"2022";"Abril      de 2022";"MARRUECOS";"RYANAIR DAC";"34,000";"4,274"
"2022";"Abril      de 2022";"MARRUECOS";"Total";"58,000";"5,344"
"2022";"Abril      de 2022";"POLONIA";"RYANAIR DAC";"17,000";"3,002"
"2022";"Abril      de 2022";"POLONIA";"Total";"17,000";"3,002"
"2022";"Abril      de 2022";"PORTUGAL";"IBERIA";"0,000";NA
"2022";"Abril      de 2022";"PORTUGAL";"RYANAIR DAC";"47,000";"7,336"
"2022";"Abril      de 2022";"PORTUGAL";"TAP AIR PORTUGAL";"54,000";"2,773"
"2022";"Abril      de 2022";"PORTUGAL";"Total";"117,000";"12,121"
"2022";"Abril      de 2022";"PORTUGAL";"VUELING AIRLINES, S.A.";"16,000";"2,012"
"2022";"Abril      de 2022";"REINO UNIDO";"BRITISH AIRWAYS";"24,000";"3,035"
"2022";"Abril      de 2022";"REINO UNIDO";"EASYJET UK LTD ";"81,000";"11,984"
"2022";"Abril      de 2022";"REINO UNIDO";"RYANAIR DAC";"79,000";"13,037"
"2022";"Abril      de 2022";"REINO UNIDO";"RYANAIR UK LIMITED";"8,000";"1,273"
"2022";"Abril      de 2022";"REINO UNIDO";"Total";"216,000";"32,566"
"2022";"Abril      de 2022";"REINO UNIDO";"VUELING AIRLINES, S.A.";"24,000";"3,237"
"2022";"Abril      de 2022";"REPUBLICA CHECA";"CZECH AIRLINES J.S.C.";"0,000";NA
"2022";"Abril      de 2022";"REPUBLICA CHECA";"SMARTWINGS, A.S.";"11,000";"1,363"
"2022";"Abril      de 2022";"REPUBLICA CHECA";"Total";"11,000";"1,363"
"2022";"Abril      de 2022";"REPUBLICA DE SERBIA";"AIR SERBIA";"4,000";"455,000"
"2022";"Abril      de 2022";"REPUBLICA DE SERBIA";"Total";"4,000";"455,000"
"2022";"Abril      de 2022";"RUMANIA";"BLUE AIR AVIATIÓN, S.A";"18,000";"2,786"
"2022";"Abril      de 2022";"RUMANIA";"Total";"51,000";"8,773"
"2022";"Abril      de 2022";"RUMANIA";"WIZZ AIR HUNGARY LTD";"33,000";"5,987"
"2022";"Abril      de 2022";"SUIZA";"EASYJET SWITZERLAND SA";"13,000";"2,122"
"2022";"Abril      de 2022";"SUIZA";"SWISS INTERNATIONAL AIR LINES";"67,000";"8,951"
"2022";"Abril      de 2022";"SUIZA";"Total";"80,000";"11,073"
"2022";"Abril      de 2022";"TURQUIA";"Total";"33,000";"4,514"
"2022";"Abril      de 2022";"TURQUIA";"TURKISH AIRLINES";"33,000";"4,514"
"2022";"Agosto     de 2022";"ALEMANIA";"AIR-TAXI EUROPE GMBH";"1,000";NA
"2022";"Agosto     de 2022";"ALEMANIA";"DEUTSCHE LUFTHANSA A.G.";"109,000";"16,559"
"2022";"Agosto     de 2022";"ALEMANIA";"EASYJET EUROPE AIRLINE GMBH";"9,000";"1,359"
"2022";"Agosto     de 2022";"ALEMANIA";"EUROWINGS GMBH";"62,000";"8,285"
"2022";"Agosto     de 2022";"ALEMANIA";"RYANAIR DAC";"53,000";"9,275"
"2022";"Agosto     de 2022";"ALEMANIA";"Total";"256,000";"35,478"
"2022";"Agosto     de 2022";"ALEMANIA";"UNITED AIRLINES INC. SUCURSAL ";"0,000";NA
"2022";"Agosto     de 2022";"ALEMANIA";"UPS UNITED PARCEL SERVICE";"22,000";"0,000"
"2022";"Agosto     de 2022";"AUSTRIA";"AUSTRIAN AIRLINES";"17,000";"2,657"
"2022";"Agosto     de 2022";"AUSTRIA";"RYANAIR DAC";"26,000";"4,522"
"2022";"Agosto     de 2022";"AUSTRIA";"Total";"43,000";"7,179"
"2022";"Agosto     de 2022";"BELGICA";"ASL AIRLINES BELGIUM";"18,000";"0,000"
"2022";"Agosto     de 2022";"BELGICA";"BRUSSELS AIRLINES N.V./S.A.";"18,000";"2,211"
"2022";"Agosto     de 2022";"BELGICA";"IBERIA";"0,000";NA
"2022";"Agosto     de 2022";"BELGICA";"RYANAIR DAC";"44,000";"7,603"
"2022";"Agosto     de 2022";"BELGICA";"Total";"111,000";"14,389"
"2022";"Agosto     de 2022";"BELGICA";"TUI FLY (TUI AIRLINES BELGIUM)";"9,000";"822,000"
"2022";"Agosto     de 2022";"BELGICA";"VUELING AIRLINES, S.A.";"22,000";"3,753"
"2022";"Agosto     de 2022";"BULGARIA";"Total";"13,000";"2,289"
"2022";"Agosto     de 2022";"BULGARIA";"WIZZ AIR HUNGARY LTD";"13,000";"2,289"
"2022";"Agosto     de 2022";"ESPAÑA";"AEROVIAS DE MEXICO, S.A. DE C.";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"AIR EUROPA";"123,000";"16,635"
"2022";"Agosto     de 2022";"ESPAÑA";"AIR NOSTRUM L.A. MEDITERRANEO";"318,000";"20,255"
"2022";"Agosto     de 2022";"ESPAÑA";"AMERICAN AIRLINES INC.";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"AVIANCA";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"BRITISH AIRWAYS";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"ETIHAD AIRWAYS";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"EUROPEAN AIR TRANSPORT LEIPZIG";"23,000";"0,000"
"2022";"Agosto     de 2022";"ESPAÑA";"HAINAN AIRLINES Co. Ltd";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"IBERIA";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"ITALIA TRASPORTO AEREO S.P.A.";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"LINEA AEREA NACIONAL DE CHILE ";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"MIDDLE EAST AIRLINES-AIRLIBAN";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"QATAR AIRWAYS GROUP Q.C.S.C.";"0,000";NA
"2022";"Agosto     de 2022";"ESPAÑA";"RYANAIR DAC";"314,000";"54,774"
"2022";"Agosto     de 2022";"ESPAÑA";"Total";"1,072";"139,286"
"2022";"Agosto     de 2022";"ESPAÑA";"VOLOTEA, S.L.";"25,000";"3,802"
"2022";"Agosto     de 2022";"ESPAÑA";"VUELING AIRLINES, S.A.";"269,000";"43,820"
"2022";"Agosto     de 2022";"FRANCIA";"AIR FRANCE";"77,000";"9,815"
"2022";"Agosto     de 2022";"FRANCIA";"AIR NOSTRUM L.A. MEDITERRANEO";"9,000";"306,000"
"2022";"Agosto     de 2022";"FRANCIA";"ASL AIRLINES BELGIUM";"4,000";"0,000"
"2022";"Agosto     de 2022";"FRANCIA";"IBERIA";"0,000";NA
"2022";"Agosto     de 2022";"FRANCIA";"RYANAIR DAC";"79,000";"12,029"
"2022";"Agosto     de 2022";"FRANCIA";"Total";"277,000";"39,382"
"2022";"Agosto     de 2022";"FRANCIA";"TRANSAVIA FRANCE";"36,000";"5,650"
"2022";"Agosto     de 2022";"FRANCIA";"VOLOTEA, S.L.";"9,000";"1,355"
"2022";"Agosto     de 2022";"FRANCIA";"VUELING AIRLINES, S.A.";"63,000";"10,227"
"2022";"Agosto     de 2022";"GRECIA";"AEGEAN AIRLINES";"9,000";"1,364"
"2022";"Agosto     de 2022";"GRECIA";"Total";"9,000";"1,364"
