"icao_aerolinea";"iata";"fecha";"hora";"vuelo";"origen";"estado";"franja_horaria";"numero_vuelo";"id";"name";"city";"country";"icao_aeropuerto";"latitude";"longitude";"altitude";"timezone";"tz";"name_aerolinea";"country_aerolinea"
"AEA";"MAD";"2025-11-09";"16:15";"AEA4065";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Tarde";"4065";"1229";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"1";"Europe/Madrid";"Air Europa";"Spain"
"AEA";"PMI";"2025-11-09";"11:22";"AEA4007";"PALMA DE MALLORCA (PMI)";"Entrega equip.";"Mañana";"4007";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Air Europa";"Spain"
"AEA";"PMI";"2025-11-10";"11:35";"AEA4007";"PALMA DE MALLORCA (PMI)";"No informado";"Mañana";"4007";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Air Europa";"Spain"
"AEA";"MAD";"2025-11-10";"08:05";"AEA4063";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Mañana";"4063";"1229";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"1";"Europe/Madrid";"Air Europa";"Spain"
"AEA";"PMI";"2025-11-09";"19:45";"AEA4011";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"4011";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Air Europa";"Spain"
"AFR";"CDG";"2025-11-09";"23:10";"AFR1492";"PARIS /CHARLES DE GAULLE (CDG)";"No informado";"Noche";"1492";"1382";"Charles de Gaulle International Airport";"Paris";"France";"LFPG";"49.012798";"2.55";"392";"1";"Europe/Paris";"Air France";"France"
"AFR";"CDG";"2025-11-10";"12:00";"AFR1416";"PARIS /CHARLES DE GAULLE (CDG)";"No informado";"Tarde";"1416";"1382";"Charles de Gaulle International Airport";"Paris";"France";"LFPG";"49.012798";"2.55";"392";"1";"Europe/Paris";"Air France";"France"
"AFR";"CDG";"2025-11-09";"11:55";"AFR1416";"PARIS /CHARLES DE GAULLE (CDG)";"En vuelo";"Mañana";"1416";"1382";"Charles de Gaulle International Airport";"Paris";"France";"LFPG";"49.012798";"2.55";"392";"1";"Europe/Paris";"Air France";"France"
"AFR";"CDG";"2025-11-09";"17:55";"AFR1420";"PARIS /CHARLES DE GAULLE (CDG)";"No informado";"Tarde";"1420";"1382";"Charles de Gaulle International Airport";"Paris";"France";"LFPG";"49.012798";"2.55";"392";"1";"Europe/Paris";"Air France";"France"
"ANE";"GRX";"2025-11-09";"21:40";"ANE8052";"(GRX)";"No informado";"Noche";"8052";"1223";"Federico Garcia Lorca Airport";"Granada";"Spain";"LEGR";"37.18870162963867";"-3.777359962463379";"1860";"1";"Europe/Madrid";NA;NA
"ASL";"BEG";"2025-11-13";"09:00";"ASL590";"BELGRADO (BEG)";"No informado";"Mañana";"590";"1739";"Belgrade Nikola Tesla Airport";"Belgrade";"Serbia";"LYBE";"44.8184013367";"20.3090991974";"335";"1";"Europe/Belgrade";"Spurling Aviation";"United States"
"ASL";"BEG";"2025-11-13";"09:00";"ASL590";"BELGRADO (BEG)";"No informado";"Mañana";"590";"1739";"Belgrade Nikola Tesla Airport";"Belgrade";"Serbia";"LYBE";"44.8184013367";"20.3090991974";"335";"1";"Europe/Belgrade";"Air Serbia";"Serbia"
"ASL";"BEG";"2025-11-20";"20:00";"ASL9030";"BELGRADO (BEG)";"No informado";"Noche";"9030";"1739";"Belgrade Nikola Tesla Airport";"Belgrade";"Serbia";"LYBE";"44.8184013367";"20.3090991974";"335";"1";"Europe/Belgrade";"Spurling Aviation";"United States"
"ASL";"BEG";"2025-11-20";"20:00";"ASL9030";"BELGRADO (BEG)";"No informado";"Noche";"9030";"1739";"Belgrade Nikola Tesla Airport";"Belgrade";"Serbia";"LYBE";"44.8184013367";"20.3090991974";"335";"1";"Europe/Belgrade";"Air Serbia";"Serbia"
"ASL";"BEG";"2025-11-09";"20:10";"ASL592";"BELGRADO (BEG)";"No informado";"Noche";"592";"1739";"Belgrade Nikola Tesla Airport";"Belgrade";"Serbia";"LYBE";"44.8184013367";"20.3090991974";"335";"1";"Europe/Belgrade";"Spurling Aviation";"United States"
"ASL";"BEG";"2025-11-09";"20:10";"ASL592";"BELGRADO (BEG)";"No informado";"Noche";"592";"1739";"Belgrade Nikola Tesla Airport";"Belgrade";"Serbia";"LYBE";"44.8184013367";"20.3090991974";"335";"1";"Europe/Belgrade";"Air Serbia";"Serbia"
"AUA";"VIE";"2025-11-11";"12:40";"AUA431";"VIENA (VIE)";"No informado";"Tarde";"431";"1613";"Vienna International Airport";"Vienna";"Austria";"LOWW";"48.110298156738";"16.569700241089";"600";"1";"Europe/Vienna";"Austrian Airlines";"Austria"
"AUA";"VIE";"2025-11-09";"12:30";"AUA431";"VIENA (VIE)";"En vuelo";"Tarde";"431";"1613";"Vienna International Airport";"Vienna";"Austria";"LOWW";"48.110298156738";"16.569700241089";"600";"1";"Europe/Vienna";"Austrian Airlines";"Austria"
"AZU";"LIS";"2025-11-12";"11:15";"AZU7351";"LISBOA (LIS)";"No informado";"Mañana";"7351";"1638";"Humberto Delgado Airport (Lisbon Portela Airport)";"Lisbon";"Portugal";"LPPT";"38.7813";"-9.13592";"374";"0";"Europe/Lisbon";"Azul";"Brazil"
"BAW";"LHR";"2025-11-13";"11:15";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"Mañana";"410";"507";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51.4706";"-0.461941";"83";"0";"Europe/London";"British Airways";"United Kingdom"
"BAW";"LHR";"2025-11-11";"16:10";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"Tarde";"410";"507";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51.4706";"-0.461941";"83";"0";"Europe/London";"British Airways";"United Kingdom"
"BAW";"LHR";"2025-11-14";"20:15";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"Noche";"410";"507";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51.4706";"-0.461941";"83";"0";"Europe/London";"British Airways";"United Kingdom"
"BAW";"LHR";"2025-11-10";"15:50";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"Tarde";"410";"507";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51.4706";"-0.461941";"83";"0";"Europe/London";"British Airways";"United Kingdom"
"BAW";"LHR";"2025-11-09";"19:35";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"Noche";"410";"507";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51.4706";"-0.461941";"83";"0";"Europe/London";"British Airways";"United Kingdom"
"BAW";"LHR";"2025-11-15";"17:20";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"Tarde";"410";"507";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51.4706";"-0.461941";"83";"0";"Europe/London";"British Airways";"United Kingdom"
"BEL";"BRU";"2025-11-09";"12:00";"BEL3751";"BRUSELAS (BRU)";"En vuelo";"Tarde";"3751";"302";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50.901401519800004";"4.48443984985";"184";"1";"Europe/Brussels";NA;NA
"BEL";"BRU";"2025-11-15";"19:20";"BEL3751";"BRUSELAS (BRU)";"No informado";"Noche";"3751";"302";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50.901401519800004";"4.48443984985";"184";"1";"Europe/Brussels";NA;NA
"BEL";"BRU";"2025-11-14";"12:55";"BEL3751";"BRUSELAS (BRU)";"No informado";"Tarde";"3751";"302";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50.901401519800004";"4.48443984985";"184";"1";"Europe/Brussels";NA;NA
"BEL";"BRU";"2025-11-10";"20:35";"BEL3751";"BRUSELAS (BRU)";"No informado";"Noche";"3751";"302";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50.901401519800004";"4.48443984985";"184";"1";"Europe/Brussels";NA;NA
"DLH";"MUC";"2025-11-09";"17:45";"DLH2640";"MUNICH (MUC)";"No informado";"Tarde";"2640";"346";"Munich Airport";"Munich";"Germany";"EDDM";"48.353802";"11.7861";"1487";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"MUC";"2025-11-14";"11:25";"DLH1840";"MUNICH (MUC)";"No informado";"Mañana";"1840";"346";"Munich Airport";"Munich";"Germany";"EDDM";"48.353802";"11.7861";"1487";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-13";"23:10";"DLH1164";"FRANKFURT (FRA)";"No informado";"Noche";"1164";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-14";"11:50";"DLH1160";"FRANKFURT (FRA)";"No informado";"Mañana";"1160";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-10";"17:10";"DLH1162";"FRANKFURT (FRA)";"No informado";"Tarde";"1162";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"MUC";"2025-11-13";"11:00";"DLH1840";"MUNICH (MUC)";"No informado";"Mañana";"1840";"346";"Munich Airport";"Munich";"Germany";"EDDM";"48.353802";"11.7861";"1487";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-15";"23:15";"DLH1164";"FRANKFURT (FRA)";"No informado";"Noche";"1164";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-15";"12:20";"DLH1160";"FRANKFURT (FRA)";"No informado";"Tarde";"1160";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-14";"23:00";"DLH1164";"FRANKFURT (FRA)";"No informado";"Noche";"1164";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-09";"17:30";"DLH1162";"FRANKFURT (FRA)";"No informado";"Tarde";"1162";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-12";"23:20";"DLH1164";"FRANKFURT (FRA)";"No informado";"Noche";"1164";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"MUC";"2025-11-09";"10:53";"DLH1840";"MUNICH (MUC)";"Finalizado";"Mañana";"1840";"346";"Munich Airport";"Munich";"Germany";"EDDM";"48.353802";"11.7861";"1487";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-13";"17:15";"DLH1162";"FRANKFURT (FRA)";"No informado";"Tarde";"1162";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
"DLH";"FRA";"2025-11-09";"12:10";"DLH1160";"FRANKFURT (FRA)";"En vuelo";"Tarde";"1160";"340";"Frankfurt am Main Airport";"Frankfurt";"Germany";"EDDF";"50.033333";"8.570556";"364";"1";"Europe/Berlin";"Lufthansa";"Germany"
