"fecha";"hora";"vuelo";"origen";"estado";"franja_horaria";"icao";"iata";"numero_vuelo"
"2025-11-09";"10:43";"RYR5034";"MARRAKECH (RAK)";"Finalizado";"Mañana";"RYR";"RAK";"5034"
"2025-11-09";"10:50";"RYR497";"MILAN/BERGAMO (BGY)";"Finalizado";"Mañana";"RYR";"BGY";"497"
"2025-11-09";"10:39";"THY1301";"ESTAMBUL (IST)";"Finalizado";"Mañana";"THY";"IST";"1301"
"2025-11-09";"10:53";"DLH1840";"MUNICH (MUC)";"Finalizado";"Mañana";"DLH";"MUC";"1840"
"2025-11-09";"10:49";"EZY8009";"LONDRES /GATWICK (LGW)";"Finalizado";"Mañana";"EZY";"LGW";"8009"
"2025-11-09";"11:40";"TAP1092";"LISBOA (LIS)";"Aproximándose";"Mañana";"TAP";"LIS";"1092"
"2025-11-09";"11:22";"AEA4007";"PALMA DE MALLORCA (PMI)";"Entrega equip.";"Mañana";"AEA";"PMI";"4007"
"2025-11-09";"11:28";"RYR6248";"TREVISO/S.ANGELO (MIL) (TSF)";"Entrega equip.";"Mañana";"RYR";"TSF";"6248"
"2025-11-09";"11:30";"SWR2140";"ZURICH (ZRH)";"Aproximándose";"Mañana";"SWR";"ZRH";"2140"
"2025-11-09";"12:00";"BEL3751";"BRUSELAS (BRU)";"En vuelo";"Tarde";"BEL";"BRU";"3751"
"2025-11-09";"11:55";"AFR1416";"PARIS /CHARLES DE GAULLE (CDG)";"En vuelo";"Mañana";"AFR";"CDG";"1416"
"2025-11-09";"12:10";"IBB5804";"TENERIFE NORTE-C. LA LAGUNA (TFN)";"En vuelo";"Tarde";"IBB";"TFN";"5804"
"2025-11-09";"12:10";"DLH1160";"FRANKFURT (FRA)";"En vuelo";"Tarde";"DLH";"FRA";"1160"
"2025-11-09";"12:05";"VOE3582";"ASTURIAS (OVD)";"En vuelo";"Tarde";"VOE";"OVD";"3582"
"2025-11-09";"12:25";"VLG8352";"AMSTERDAM /SCHIPHOL (AMS)";"En vuelo";"Tarde";"VLG";"AMS";"8352"
"2025-11-09";"12:30";"AUA431";"VIENA (VIE)";"En vuelo";"Tarde";"AUA";"VIE";"431"
"2025-11-09";"12:25";"RYR2301";"BUDAPEST (BUD)";"En vuelo";"Tarde";"RYR";"BUD";"2301"
"2025-11-09";"12:55";"IBE2402";"PALMA DE MALLORCA (PMI)";"No informado";"Tarde";"IBE";"PMI";"2402"
"2025-11-09";"13:00";"RYR2229";"CRACOVIA (KRK)";"En vuelo";"Tarde";"RYR";"KRK";"2229"
"2025-11-09";"13:15";"RYR7215";"PALMA DE MALLORCA (PMI)";"No informado";"Tarde";"RYR";"PMI";"7215"
"2025-11-09";"13:10";"VLG3103";"TENERIFE NORTE-C. LA LAGUNA (TFN)";"En vuelo";"Tarde";"VLG";"TFN";"3103"
"2025-11-09";"13:35";"RYR993";"ROMA /FIUMICINO (FCO)";"No informado";"Tarde";"RYR";"FCO";"993"
"2025-11-09";"14:10";"WMT6317";"MILAN /MALPENSA (MXP)";"No informado";"Tarde";"WMT";"MXP";"6317"
"2025-11-09";"14:10";"VLG8153";"PARIS /ORLY (ORY)";"No informado";"Tarde";"VLG";"ORY";"8153"
"2025-11-09";"14:10";"RYR952";"PISA / GALILEO GALILEI (PSA)";"No informado";"Tarde";"RYR";"PSA";"952"
"2025-11-09";"14:40";"WMT6027";"ROMA /FIUMICINO (FCO)";"No informado";"Tarde";"WMT";"FCO";"6027"
"2025-11-09";"14:50";"RYR1718";"EINDHOVEN (EIN)";"No informado";"Tarde";"RYR";"EIN";"1718"
"2025-11-09";"14:55";"RYR2215";"SANTANDER-SEVE BALLESTEROS (SDR)";"No informado";"Tarde";"RYR";"SDR";"2215"
"2025-11-09";"15:10";"RYR2217";"MARRAKECH (RAK)";"No informado";"Tarde";"RYR";"RAK";"2217"
"2025-11-09";"15:10";"RYR2259";"TURIN (TRN)";"No informado";"Tarde";"RYR";"TRN";"2259"
"2025-11-09";"15:25";"VLG3952";"PALMA DE MALLORCA (PMI)";"No informado";"Tarde";"VLG";"PMI";"3952"
"2025-11-09";"16:10";"KLM1531";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"Tarde";"KLM";"AMS";"1531"
"2025-11-09";"16:10";"RYR1780";"BADEN BADEN-KARLSRUHE (FKB) (FKB)";"No informado";"Tarde";"RYR";"FKB";"1780"
"2025-11-09";"16:15";"VLG3966";"BILBAO (BIO)";"No informado";"Tarde";"VLG";"BIO";"3966"
"2025-11-09";"16:15";"AEA4065";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Tarde";"AEA";"MAD";"4065"
"2025-11-09";"16:20";"RYR1710";"OPORTO (OPO)";"No informado";"Tarde";"RYR";"OPO";"1710"
"2025-11-09";"16:40";"RYR1092";"EDIMBURGO (EDI)";"No informado";"Tarde";"RYR";"EDI";"1092"
"2025-11-09";"17:05";"IBE1081";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Tarde";"IBE";"MAD";"1081"
"2025-11-09";"17:05";"RYR1770";"MARSELLA (MRS)";"No informado";"Tarde";"RYR";"MRS";"1770"
"2025-11-09";"17:05";"VLG3964";"SEVILLA (SVQ)";"No informado";"Tarde";"VLG";"SVQ";"3964"
"2025-11-09";"17:10";"THY1313";"ESTAMBUL (IST)";"No informado";"Tarde";"THY";"IST";"1313"
"2025-11-09";"17:20";"RYR999";"ROMA /FIUMICINO (FCO)";"No informado";"Tarde";"RYR";"FCO";"999"
"2025-11-09";"17:25";"VOE3536";"BILBAO (BIO)";"No informado";"Tarde";"VOE";"BIO";"3536"
"2025-11-09";"17:30";"DLH1162";"FRANKFURT (FRA)";"No informado";"Tarde";"DLH";"FRA";"1162"
"2025-11-09";"17:45";"DLH2640";"MUNICH (MUC)";"No informado";"Tarde";"DLH";"MUC";"2640"
"2025-11-09";"17:55";"AFR1420";"PARIS /CHARLES DE GAULLE (CDG)";"No informado";"Tarde";"AFR";"CDG";"1420"
"2025-11-09";"18:05";"RYR1699";"IBIZA (IBZ)";"No informado";"Noche";"RYR";"IBZ";"1699"
"2025-11-09";"18:25";"RAM968";"CASABLANCA /MOHAMED V (CMN)";"No informado";"Noche";"RAM";"CMN";"968"
"2025-11-09";"18:25";"IBB5802";"GRAN CANARIA (LPA)";"No informado";"Noche";"IBB";"LPA";"5802"
"2025-11-09";"18:40";"VLG8473";"LONDRES /GATWICK (LGW)";"No informado";"Noche";"VLG";"LGW";"8473"
"2025-11-09";"18:40";"RYR4486";"PALERMO /PUNTA RAISI (PMO)";"No informado";"Noche";"RYR";"PMO";"4486"
"2025-11-09";"18:50";"WZZ2385";"BUDAPEST (BUD)";"No informado";"Noche";"WZZ";"BUD";"2385"
