"Icao_Aerolinea";"Iata_Aeropuerto";"Fecha";"Hora";"Vuelo";"Origen";"Estado";"Numero_Vuelo";"Nombre_Aeropuerto";"Ciudad_Aeropuerto";"País_Aeropuerto";"Icao_Aeropuerto";"Latitud";"Longitud";"Altitud";"Zona_Horaria";"Nombre_Aerolinea";"País_Aerolinea";"PAX_Medio_Aeropuerto";"PAX_Medio_Compania";"PAX_Medio_Total";"franja_horaria"
"AAL";"MAD";"2025-11-11";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40,4719260000000";"-3,56264000000000";"1998";"Europe/Madrid";"American Airlines";"United States";"94,2604255319149";"0,000000000000000";"47,1302127659574";"Mañana"
"AAL";"MAD";"2025-11-16";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40,4719260000000";"-3,56264000000000";"1998";"Europe/Madrid";"American Airlines";"United States";"94,2604255319149";"0,000000000000000";"47,1302127659574";"Tarde"
"ACA";"LIS";"2025-11-22";"17:40";"ACA2673";"LISBOA (LIS)";"No informado";"2673";"Humberto Delgado Airport (Lisbon Portela Airport)";"Lisbon";"Portugal";"LPPT";"38,7813000000000";"-9,13592000000000";"374";"Europe/Lisbon";"Air Canada";"Canada";"101,4665957446808";"0,000000000000000";"50,7332978723404";"Tarde"
"ACA";"LIS";"2025-11-14";"23:30";"ACA2673";"LISBOA (LIS)";"No informado";"2673";"Humberto Delgado Airport (Lisbon Portela Airport)";"Lisbon";"Portugal";"LPPT";"38,7813000000000";"-9,13592000000000";"374";"Europe/Lisbon";"Air Canada";"Canada";"101,4665957446808";"0,000000000000000";"50,7332978723404";"Noche"
"ACA";"LIS";"2025-11-18";"17:30";"ACA2673";"LISBOA (LIS)";"No informado";"2673";"Humberto Delgado Airport (Lisbon Portela Airport)";"Lisbon";"Portugal";"LPPT";"38,7813000000000";"-9,13592000000000";"374";"Europe/Lisbon";"Air Canada";"Canada";"101,4665957446808";"0,000000000000000";"50,7332978723404";"Tarde"
"AEA";"MAD";"2025-11-18";"08:05";"AEA4063";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"4063";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40,4719260000000";"-3,56264000000000";"1998";"Europe/Madrid";"Air Europa";"Spain";"94,2604255319149";"101,848474576271187";"98,0544500540930";"Mañana"
"AEA";"PMI";"2025-11-19";"19:45";"AEA4011";"PALMA DE MALLORCA (PMI)";"No informado";"4011";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39,5517005920000";"2,73881006241000";"27";"Europe/Madrid";"Air Europa";"Spain";"126,7802127659574";"101,848474576271187";"114,3143436711143";"Noche"
"AEA";"MAD";"2025-11-09";"16:15";"AEA4065";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"4065";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40,4719260000000";"-3,56264000000000";"1998";"Europe/Madrid";"Air Europa";"Spain";"94,2604255319149";"101,848474576271187";"98,0544500540930";"Tarde"
"AEA";"PMI";"2025-11-19";"11:35";"AEA4007";"PALMA DE MALLORCA (PMI)";"No informado";"4007";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39,5517005920000";"2,73881006241000";"27";"Europe/Madrid";"Air Europa";"Spain";"126,7802127659574";"101,848474576271187";"114,3143436711143";"Mañana"
"AEA";"PMI";"2025-11-09";"11:22";"AEA4007";"PALMA DE MALLORCA (PMI)";"Entrega equip.";"4007";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39,5517005920000";"2,73881006241000";"27";"Europe/Madrid";"Air Europa";"Spain";"126,7802127659574";"101,848474576271187";"114,3143436711143";"Mañana"
